"p_lic_cert_num","p_cmn_lic_actn_cd","p_cmn_lic_ssn_num","p_cmn_lic_first_nam","p_cmn_lic_last_nam","p_cmn_lic_mid_nam","p_lic_cert_cd","p_cmn_lic_cert_beg_dt","p_cmn_lic_cert_end_dt","p_lic_rstrct_cd","p_cmn_lic_cert_stat_cd","p_lic_cert_agcy_cd","p_cmn_lic_cert_faci_nam","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"LV-JW-1590","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"DA-OA-3207","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"TQ-FW-6439","C","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"ZA-IH-8007","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"CO-BZ-5743","C","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"GW-NO-6377","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"PZ-TA-7967","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"HK-QN-6406","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"TF-VN-9660","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"XX-LZ-3138","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"LR-GS-3196","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"HP-PX-3849","C","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"WM-CC-0826","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"CY-GR-1197","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"ZE-LC-6999","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"LT-OV-5581","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"VF-ZW-0766","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"IY-TD-2049","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"KU-VF-0715","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"DF-LM-6967","C","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"KL-BM-9405","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"DE-IP-3489","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"NP-BX-7853","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"IX-NV-2948","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"WG-VI-6452","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"HU-DH-4493","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"SR-WY-0383","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"BL-FB-6084","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"PN-BA-8872","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"HW-UJ-7731","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"BG-PA-2711","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"PZ-MB-9012","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"ZV-UB-6921","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"LK-OT-2665","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"PM-WG-6012","C","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"TG-HL-3988","C","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"OI-SI-7125","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"HN-MU-0882","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"MD-MU-8846","C","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"EE-AA-2597","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"FZ-DQ-4719","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"GV-KV-0655","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"VU-DY-6946","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"IY-ZL-9993","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"RP-QT-7497","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"DP-TG-4770","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"JX-LL-8390","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"AS-AG-7565","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"ZX-SN-2158","B","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"TA-CD-9400","A","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
