"p_sys_id","p_enrol_alt_id_seq_num","p_alt_id","p_enrol_alt_id_ty_cd","p_enrol_alt_id_beg_dt","p_enrol_alt_id_end_dt","p_tax_rpt_ind","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900195","33","1148942000","EI","04-APR-13","18-AUG-39","Y","0","SYSTEM","17-JAN-26 08.59.11.944039000 PM","SYSTEM","25-DEC-25 01.20.01.944039000 PM"
"900182","34","2912537281","SY","05-APR-13","05-SEP-92","Y","0","SYSTEM","15-OCT-25 08.29.31.944039000 PM","SYSTEM","27-SEP-25 12.36.45.944039000 PM"
"900189","35","2426268514","EI","04-APR-13","11-DEC-57","Y","0","SYSTEM","23-MAR-26 07.11.11.945039000 AM","SYSTEM","20-MAR-26 11.44.15.945039000 AM"
"900193","36","1091825871","SY","04-APR-13","18-JUN-21","Y","0","SYSTEM","07-APR-26 09.06.34.947077000 PM","SYSTEM","03-APR-26 08.10.07.947077000 AM"
"900173","37","1623801374","SY","04-APR-13","07-MAR-58","Y","0","SYSTEM","14-APR-26 06.33.03.948085000 AM","SYSTEM","20-MAR-26 11.49.58.948085000 PM"
"900194","38","2955254083","EI","05-APR-13","01-JUN-61","Y","0","SYSTEM","18-FEB-26 01.35.22.949093000 AM","SYSTEM","16-FEB-26 06.31.15.949093000 AM"
"900178","39","1535033843","SY","04-APR-13","27-AUG-42","Y","0","SYSTEM","14-NOV-25 08.42.50.950092000 AM","SYSTEM","19-OCT-25 11.49.53.950092000 AM"
"900162","40","1590585448","SY","05-APR-13","08-JAN-74","Y","0","SYSTEM","14-AUG-26 02.06.27.952093000 AM","SYSTEM","16-JUL-26 03.13.44.952093000 PM"
"900167","41","2172078299","SY","05-APR-13","23-JUN-75","Y","0","SYSTEM","13-JUL-26 07.58.01.953365000 AM","SYSTEM","12-JUL-26 11.24.16.953365000 PM"
"900168","42","1817375557","SY","05-APR-13","19-FEB-31","Y","0","SYSTEM","10-NOV-25 05.44.40.954400000 PM","SYSTEM","15-OCT-25 09.16.13.954400000 PM"
