"p_sys_id","p_faci_sk","p_faci_ty_cd","p_faci_beg_dt","p_faci_end_dt","p_faci_admin_nam","p_faci_fy_mo_num","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900185","17324","NRS","25-JUN-23","20-SEP-99","Mercy Health System","1","36","SYSTEM","10-OCT-25 07.15.28.174047000 PM","SYSTEM","15-SEP-25 07.42.40.174047000 AM"
"900164","17325","PSY","31-JAN-92","06-NOV-92","Kaiser Specialty Clinic","1","38","SYSTEM","26-JUL-26 01.48.22.174047000 PM","SYSTEM","26-JUN-26 02.39.53.174047000 PM"
"900198","17326","PSY","03-OCT-53","03-JUN-54","St. Jude Physicians Group","1","36","SYSTEM","05-JUN-26 02.37.43.175089000 AM","SYSTEM","02-JUN-26 08.33.47.175089000 AM"
"900186","17327","PSY","23-SEP-45","24-JUN-91","Mayo Clinic Specialty Clinic","1","36","SYSTEM","23-MAR-26 02.04.29.175089000 PM","SYSTEM","23-MAR-26 02.09.00.175089000 AM"
"900156","17328","NRS","26-NOV-12","09-JAN-16","Mayo Clinic Medical Center","1","36","SYSTEM","10-APR-26 07.48.04.176104000 AM","SYSTEM","17-MAR-26 07.56.52.176104000 AM"
"900181","17329","PSY","12-JUL-43","02-JUN-94","Mayo Clinic Physicians Group","1","38","SYSTEM","12-MAY-26 01.08.37.176104000 AM","SYSTEM","15-APR-26 08.03.18.176104000 AM"
"900191","17330","NRS","24-JUN-64","07-AUG-64","Valley Care Physicians Group","1","38","SYSTEM","11-NOV-25 12.47.40.177102000 AM","SYSTEM","18-OCT-25 11.46.00.177102000 AM"
"900166","17331","PSY","04-NOV-31","28-NOV-82","St. Jude Lab Services","1","37","SYSTEM","28-AUG-25 12.59.17.178044000 PM","SYSTEM","23-AUG-25 10.27.57.178044000 PM"
"900187","17332","NRS","22-JUL-43","27-AUG-43","Valley Care Hospital","1","37","SYSTEM","24-MAY-26 09.00.35.179047000 PM","SYSTEM","28-APR-26 07.34.57.179047000 AM"
"900189","17333","NRS","08-MAY-81","21-MAR-87","Methodist Physicians Group","1","36","SYSTEM","30-MAY-26 04.17.39.179047000 PM","SYSTEM","29-MAY-26 03.23.34.179047000 AM"
"900177","17334","PSY","12-JAN-93","28-DEC-97","Kaiser Dialysis Center","1","38","SYSTEM","28-NOV-25 08.01.28.180045000 AM","SYSTEM","03-NOV-25 09.47.34.180045000 AM"
"900188","17335","NRS","05-MAY-79","17-MAR-80","Sanford Specialty Clinic","1","36","SYSTEM","20-FEB-26 07.39.32.181089000 AM","SYSTEM","25-JAN-26 12.08.06.181089000 AM"
"900162","17336","PSY","15-JUL-86","14-AUG-90","Kaiser Hospital","1","37","SYSTEM","29-JUL-26 11.05.25.181089000 PM","SYSTEM","11-JUL-26 08.03.16.181089000 AM"
"900196","17337","NRS","14-JAN-77","27-APR-79","Centura Health System","1","37","SYSTEM","29-OCT-25 03.46.41.182079000 AM","SYSTEM","28-SEP-25 05.07.23.182079000 AM"
"900159","17338","NRS","22-JUL-68","07-DEC-68","Valley Care Specialty Clinic","1","37","SYSTEM","18-DEC-25 07.29.32.182079000 AM","SYSTEM","15-DEC-25 06.11.56.182079000 AM"
"900155","17339","NRS","09-JAN-59","01-JUL-71","Midwest Hospital","1","36","SYSTEM","31-JUL-26 05.32.44.183296000 PM","SYSTEM","11-JUL-26 07.31.03.183296000 PM"
"900163","17340","PSY","20-FEB-85","02-MAR-86","Trinity Lab Services","1","38","SYSTEM","19-FEB-26 11.57.37.183296000 PM","SYSTEM","28-JAN-26 07.46.34.183296000 AM"
"900169","17341","PSY","02-SEP-39","15-MAY-71","Trinity Physicians Group","1","38","SYSTEM","01-NOV-25 03.22.27.184304000 AM","SYSTEM","05-OCT-25 02.30.58.184304000 PM"
"900160","17342","PSY","12-JUN-32","22-SEP-39","Sanford Health System","1","38","SYSTEM","21-NOV-25 06.50.12.184304000 AM","SYSTEM","23-OCT-25 03.26.33.184304000 PM"
"900179","17343","NRS","22-AUG-35","02-JAN-60","Methodist Dialysis Center","1","37","SYSTEM","08-MAY-26 10.58.11.185308000 PM","SYSTEM","20-APR-26 02.03.32.185308000 AM"
"900154","17344","PSY","31-MAR-15","25-MAY-29","Valley Care Lab Services","1","36","SYSTEM","25-SEP-25 04.04.59.185308000 AM","SYSTEM","28-AUG-25 08.58.24.185308000 AM"
"900192","17345","PSY","28-JUL-92","11-MAR-95","Trinity Medical Center","1","37","SYSTEM","03-JUN-26 01.35.14.186299000 AM","SYSTEM","27-MAY-26 08.41.19.186299000 PM"
"900178","17346","NRS","10-NOV-46","07-SEP-64","Mayo Clinic Lab Services","1","36","SYSTEM","01-APR-26 04.25.58.187312000 PM","SYSTEM","25-MAR-26 09.12.53.187312000 PM"
"900161","17347","PSY","20-FEB-37","29-MAY-39","Sanford Hospital","1","37","SYSTEM","09-JUN-26 10.01.40.187312000 AM","SYSTEM","28-MAY-26 04.29.10.187312000 PM"
"900195","17348","NRS","20-MAR-32","14-JAN-33","Kaiser Physicians Group","1","37","SYSTEM","27-JUL-26 01.37.07.188311000 PM","SYSTEM","07-JUL-26 10.59.24.188311000 PM"
