"p_hcidea_sys_id","p_hcidea_co_cnt","p_hcidea_rec_ty_cd","p_hcidea_first_nam","p_hcidea_mid_nam","p_hcidea_last_nam","p_hcidea_sfx_nam","p_hcidea_nam_co_cnt","p_hcidea_nam_tier_cd","p_hcidea_nam_vrfy_cd","p_hcidea_nam_vfry_dt","p_hcidea_gender_cd","p_hcidea_gender_co_cnt","p_hcidea_gender_tier_cd","p_hcidea_gender_vrfy_cd","p_hcidea_gender_vrfy_dt","p_hcidea_birth_dt","p_hcidea_birth_dt_co_cnt","p_hcidea_birth_dt_tier_cd","p_hcidea_birth_dt_vrfy_cd","p_hcidea_birth_dt_vrfy_dt","p_hcidea_decsed_cd","p_hcidea_decsed_dt","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id"
"1000001","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000002","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000003","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000004","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000005","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000006","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000007","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000008","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000009","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000010","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000011","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000012","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000013","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000014","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000015","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000016","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000017","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000018","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000019","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000020","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000021","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000022","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000023","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000024","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000025","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000026","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000027","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000028","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000029","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000030","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000031","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000032","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000033","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000034","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000035","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000036","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000037","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000038","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000039","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000040","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000041","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000042","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000043","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000044","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000045","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000046","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000047","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000048","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000049","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
"1000050","","","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM"
