"p_if_1915i_sk","p_sys_id","p_curr_alt_id","p_npi_num","p_ty_cd","p_org_nam","p_first_nam","p_last_nam","p_txnmy_cd","p_tax_id","g_phone_num","g_phone_usg_ty_cd","p_adr_line1","p_adr_line2","p_city_nam","p_us_state_cd","p_zip_cd","p_enrol_stat_beg_dt","p_enrol_stat_end_dt","p_indiv_grp_cd","p_if_1915i_resp_clob","p_if_1915i_resp_cd","p_if_1915i_prcs_ind","l_hibernate_ver_num","g_aud_add_user_id","g_aud_ts","g_aud_user_id","g_aud_add_ts"
"1000001","900199","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000002","900195","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000003","900165","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000004","900192","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000005","900167","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000006","900179","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000007","900160","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000008","900161","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000009","900176","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000010","900153","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000011","900187","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000012","900189","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000013","900188","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000014","900155","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000015","900196","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000016","900172","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000017","900184","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000018","900178","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000019","900168","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000020","900175","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000021","900174","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000022","900177","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000023","900171","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000024","900186","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000025","900166","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000026","900180","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000027","900152","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000028","900154","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000029","900169","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000030","900157","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000031","900156","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000032","900197","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000033","900163","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000034","900191","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000035","900151","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000036","900181","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000037","900194","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000038","900162","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000039","900182","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000040","900159","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000041","900198","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000042","900190","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000043","900173","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000044","900158","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000045","900200","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000046","900164","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000047","900183","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000048","900170","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000049","900185","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"1000050","900193","","","","","","","","","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
