"p_if_sandata_sk","p_sys_id","p_curr_alt_id","p_qlfr_nam","p_nam","p_payer_id","g_adr_line1","g_adr_line2","g_city_nam","g_us_state_cd","g_zip_cd","g_phone_num","g_email_txt","g_contact_last_nam","g_contact_first_nam","p_npi_num","p_tax_id","p_enrol_stat_beg_dt","p_enrol_stat_end_dt","p_termination_dt","p_if_sandata_resp_clob","p_if_sandata_resp_cd","p_if_sandata_prcs_ind","l_hibernate_ver_num","g_aud_add_user_id","g_aud_ts","g_aud_user_id","g_aud_add_ts"
"22049","900159","1490991","Centura Dialysis Center","Mayo Clinic Specialty Clinic","ND","17174 Parks Forges","","Port Janettown","MN","76694","7674530323","humphreylisa@example.org","St. Jude Health System","Mayo Clinic Medical Center","2705364216","173397516","14-SEP-22","23-JUL-43","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""FARGO"",""AgencyEmail"":""desirenkinzingabo@gmail.com"",""ProviderRequireAuth"":null,""id"":""a35de337-b7f0-4725-a41c-ea5a106abdd0"",""ProviderStateInfo"":null,""ProviderID"":""1495758"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""331764833"",""ProviderNPI"":null,""AddressZip"":""581048725"",""SSN"":null,""ProviderName"":""Lux Agency LLC"",""AddressLine2"":"""",""AddressLine1"":""4272 31ST AVE S"",""AgencyPhone"":""7012003783"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""Nkinzingabo"",""PrimaryContactFirstName"":""Desire""}","S","Y","1","SYSTEM","21-JUL-26 02.55.48.290934000 AM","SYSTEM","13-JUL-26 10.35.22.290934000 AM"
"22050","900192","1492924","Methodist Health System","Centura Dialysis Center","ND","208 Michelle Spurs","","Suzannemouth","NY","85192","3519535913","taylorlopez@example.org","St. Jude Dialysis Center","Mercy Medical Center","1636536645","040397169","31-AUG-22","19-OCT-53","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""West Fargo"",""AgencyEmail"":""SENADM425@GMAIL.COM"",""ProviderRequireAuth"":null,""id"":""59fc29bd-1d1a-4def-833f-0d2fa2973614"",""ProviderStateInfo"":null,""ProviderID"":""1473755"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""502253514"",""ProviderNPI"":null,""AddressZip"":""580785200"",""SSN"":null,""ProviderName"":""OMEROVIC ADMIRA"",""AddressLine2"":"""",""AddressLine1"":""1553 10th Ave E"",""AgencyPhone"":""7017815248"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""OMEROVIC"",""PrimaryContactFirstName"":""ADMIRA""}","S","Y","1","SYSTEM","08-JUN-26 08.58.02.291935000 AM","SYSTEM","17-MAY-26 05.33.47.291935000 PM"
"22051","900199","1480393","St. Jude Specialty Clinic","Kaiser Health System","ND","470 Matthew Estates Apt. 856","","Bryantburgh","CA","15320","1425649369","brian65@example.org","Trinity Hospital","Sanford Dialysis Center","2136811496","015564252","15-FEB-19","02-DEC-78","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""FARGO"",""AgencyEmail"":""desirenkinzingabo@gmail.com"",""ProviderRequireAuth"":null,""id"":""a35de337-b7f0-4725-a41c-ea5a106abdd0"",""ProviderStateInfo"":null,""ProviderID"":""1495758"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""331764833"",""ProviderNPI"":null,""AddressZip"":""581048725"",""SSN"":null,""ProviderName"":""Lux Agency LLC"",""AddressLine2"":"""",""AddressLine1"":""4272 31ST AVE S"",""AgencyPhone"":""7012003783"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""Nkinzingabo"",""PrimaryContactFirstName"":""Desire""}","S","Y","1","SYSTEM","11-FEB-26 01.36.20.293349000 AM","SYSTEM","10-FEB-26 12.15.02.293349000 PM"
"22052","900196","1488139","Valley Care Specialty Clinic","Valley Care Health System","ND","7080 Micheal Summit Apt. 666","","Ryanfurt","MT","02331","7196475373","floresjoseph@example.org","St. Jude Physicians Group","Centura Dialysis Center","2288023387","387166966","14-NOV-23","20-JUN-72","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""West Fargo"",""AgencyEmail"":""SENADM425@GMAIL.COM"",""ProviderRequireAuth"":null,""id"":""59fc29bd-1d1a-4def-833f-0d2fa2973614"",""ProviderStateInfo"":null,""ProviderID"":""1473755"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""502253514"",""ProviderNPI"":null,""AddressZip"":""580785200"",""SSN"":null,""ProviderName"":""OMEROVIC ADMIRA"",""AddressLine2"":"""",""AddressLine1"":""1553 10th Ave E"",""AgencyPhone"":""7017815248"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""OMEROVIC"",""PrimaryContactFirstName"":""ADMIRA""}","S","Y","1","SYSTEM","17-NOV-25 07.11.20.293977000 AM","SYSTEM","17-OCT-25 07.58.57.293977000 PM"
"22053","900186","1477336","Midwest Hospital","Mayo Clinic Physicians Group","ND","710 Taylor Trace","","Barbarachester","NY","86284","5216282512","seanhernandez@example.net","Midwest Specialty Clinic","Methodist Health System","1863387357","400348962","07-JUN-18","24-OCT-65","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""West Fargo"",""AgencyEmail"":""SENADM425@GMAIL.COM"",""ProviderRequireAuth"":null,""id"":""59fc29bd-1d1a-4def-833f-0d2fa2973614"",""ProviderStateInfo"":null,""ProviderID"":""1473755"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""502253514"",""ProviderNPI"":null,""AddressZip"":""580785200"",""SSN"":null,""ProviderName"":""OMEROVIC ADMIRA"",""AddressLine2"":"""",""AddressLine1"":""1553 10th Ave E"",""AgencyPhone"":""7017815248"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""OMEROVIC"",""PrimaryContactFirstName"":""ADMIRA""}","S","Y","1","SYSTEM","11-JUN-26 10.26.20.296000000 AM","SYSTEM","30-MAY-26 09.58.58.296000000 AM"
"22054","900162","1485909","Centura Health System","Mercy Lab Services","ND","30616 Cooper Forest Suite 283","","Powerston","NC","20329","0019143096","mrichards@example.net","Mercy Hospital","St. Jude Hospital","2527717559","893208530","16-DEC-20","16-MAY-27","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""FARGO"",""AgencyEmail"":""desirenkinzingabo@gmail.com"",""ProviderRequireAuth"":null,""id"":""a35de337-b7f0-4725-a41c-ea5a106abdd0"",""ProviderStateInfo"":null,""ProviderID"":""1495758"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""331764833"",""ProviderNPI"":null,""AddressZip"":""581048725"",""SSN"":null,""ProviderName"":""Lux Agency LLC"",""AddressLine2"":"""",""AddressLine1"":""4272 31ST AVE S"",""AgencyPhone"":""7012003783"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""Nkinzingabo"",""PrimaryContactFirstName"":""Desire""}","S","Y","1","SYSTEM","16-JUL-26 02.45.34.296983000 PM","SYSTEM","18-JUN-26 03.02.20.296983000 PM"
"22055","900170","1493112","Mayo Clinic Specialty Clinic","Methodist Specialty Clinic","ND","79058 Carson Island","","Ericaport","SD","66661","2577631585","stewartgene@example.org","St. Jude Lab Services","Valley Care Dialysis Center","1916974375","191775005","15-MAR-23","25-APR-68","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""West Fargo"",""AgencyEmail"":""SENADM425@GMAIL.COM"",""ProviderRequireAuth"":null,""id"":""59fc29bd-1d1a-4def-833f-0d2fa2973614"",""ProviderStateInfo"":null,""ProviderID"":""1473755"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""502253514"",""ProviderNPI"":null,""AddressZip"":""580785200"",""SSN"":null,""ProviderName"":""OMEROVIC ADMIRA"",""AddressLine2"":"""",""AddressLine1"":""1553 10th Ave E"",""AgencyPhone"":""7017815248"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""OMEROVIC"",""PrimaryContactFirstName"":""ADMIRA""}","S","Y","1","SYSTEM","11-SEP-25 05.08.26.297981000 AM","SYSTEM","17-AUG-25 09.25.35.297981000 AM"
"22056","900164","1492023","Valley Care Dialysis Center","Mayo Clinic Health System","ND","020 Hernandez Springs","","South Stevenland","CA","85862","3688863313","jennifermills@example.net","Kaiser Dialysis Center","Sanford Physicians Group","1691988715","744710477","03-JUL-24","10-OCT-93","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""FARGO"",""AgencyEmail"":""desirenkinzingabo@gmail.com"",""ProviderRequireAuth"":null,""id"":""a35de337-b7f0-4725-a41c-ea5a106abdd0"",""ProviderStateInfo"":null,""ProviderID"":""1495758"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""331764833"",""ProviderNPI"":null,""AddressZip"":""581048725"",""SSN"":null,""ProviderName"":""Lux Agency LLC"",""AddressLine2"":"""",""AddressLine1"":""4272 31ST AVE S"",""AgencyPhone"":""7012003783"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""Nkinzingabo"",""PrimaryContactFirstName"":""Desire""}","S","Y","1","SYSTEM","14-DEC-25 09.49.48.298981000 PM","SYSTEM","03-DEC-25 06.16.11.298981000 PM"
"22057","900152","1492513","Midwest Medical Center","Trinity Health System","ND","60226 Adkins Rest","","East Kimton","NY","27688","0017085442","dmaxwell@example.com","Centura Lab Services","Sanford Medical Center","1158272595","779473353","14-JAN-25","15-FEB-48","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""FARGO"",""AgencyEmail"":""desirenkinzingabo@gmail.com"",""ProviderRequireAuth"":null,""id"":""a35de337-b7f0-4725-a41c-ea5a106abdd0"",""ProviderStateInfo"":null,""ProviderID"":""1495758"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""331764833"",""ProviderNPI"":null,""AddressZip"":""581048725"",""SSN"":null,""ProviderName"":""Lux Agency LLC"",""AddressLine2"":"""",""AddressLine1"":""4272 31ST AVE S"",""AgencyPhone"":""7012003783"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""Nkinzingabo"",""PrimaryContactFirstName"":""Desire""}","S","Y","1","SYSTEM","14-FEB-26 08.59.05.300980000 AM","SYSTEM","21-JAN-26 10.18.25.300980000 PM"
"22058","900154","1478980","St. Jude Health System","Mercy Hospital","ND","91376 Moore Gardens","","Barryfurt","CA","14776","4889613283","ccochran@example.org","Midwest Physicians Group","Trinity Specialty Clinic","2023960315","612864305","29-JUN-24","05-AUG-72","","{""PayerID"":""ND"",""WebUsername"":null,""messageSummary"":null,""ProviderMedicaidID"":null,""ProviderDoingBusinessAs"":null,""County"":null,""ProviderQualifier"":""MedicaidID"",""ProviderXWalks"":[],""ProviderOtherIDs"":[],""AddressCity"":""FARGO"",""AgencyEmail"":""desirenkinzingabo@gmail.com"",""ProviderRequireAuth"":null,""id"":""a35de337-b7f0-4725-a41c-ea5a106abdd0"",""ProviderStateInfo"":null,""ProviderID"":""1495758"",""ExchangeProfiles"":[],""TerminationDate"":"""",""WebPassword"":null,""isCollectedAsChild"":false,""TaxID"":""331764833"",""ProviderNPI"":null,""AddressZip"":""581048725"",""SSN"":null,""ProviderName"":""Lux Agency LLC"",""AddressLine2"":"""",""AddressLine1"":""4272 31ST AVE S"",""AgencyPhone"":""7012003783"",""ProviderAPI"":null,""ProviderDateEnd"":null,""ProviderFax"":null,""ProviderTaxonomy"":null,""ErrorCode"":null,""ProviderDateBegin"":null,""ErrorMessage"":null,""messageDetail"":null,""SuspensionDate"":"""",""status"":""SUCCESS"",""AddressState"":""ND"",""PrimaryContactLastName"":""Nkinzingabo"",""PrimaryContactFirstName"":""Desire""}","S","Y","1","SYSTEM","20-FEB-26 10.34.51.301981000 PM","SYSTEM","31-JAN-26 08.51.24.301981000 AM"
