"p_if_therap_sk","p_sys_id","p_curr_alt_id","p_npi_num","p_ty_cd","p_org_nam","p_first_nam","p_last_nam","p_txnmy_cd","p_tax_id","g_phone_num","g_phone_usg_ty_cd","p_adr_line1","p_adr_line2","p_city_nam","p_us_state_cd","p_zip_cd","p_enrol_stat_beg_dt","p_enrol_stat_end_dt","p_indiv_grp_cd","p_if_therap_resp_clob","p_if_therap_resp_cd","p_if_therap_prcs_ind","l_hibernate_ver_num","g_aud_add_user_id","g_aud_ts","g_aud_user_id","g_aud_add_ts"
"29","900185","1454192","2292695972","04","Kaiser Health System","Methodist Specialty Clinic","St. Jude Health System","208D00000X","158428854","7166483410","W","412 David Causeway","","New Alexchester","MO","35851","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","16-OCT-25 12.40.20.365803000 AM","SYSTEM","07-OCT-25 10.18.40.365803000 PM"
"30","900190","1454130","2954137263","05","Midwest Lab Services","Valley Care Specialty Clinic","","207R00000X","328930755","5633064273","W","2471 Ross Harbor Apt. 667","","West Laura","TX","06159","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","14-MAY-26 12.40.59.366840000 PM","SYSTEM","03-MAY-26 04.00.33.366840000 PM"
"31","900183","1453967","1796334492","02","Mercy Health System","Trinity Physicians Group","","207Q00000X","098493480","0012637804","W","9862 Carr Parkway","","Port Hayley","MT","90290","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","08-DEC-25 11.22.26.367837000 AM","SYSTEM","28-NOV-25 01.00.02.367837000 PM"
"32","900164","1453545","1496476957","02","Mayo Clinic Medical Center","Mercy Health System","","261QP2300X","145921616","2457995009","W","5195 Mathews Branch","","Torreshaven","VI","52874","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","19-JUL-26 03.49.01.369837000 PM","SYSTEM","25-JUN-26 05.55.52.369837000 AM"
"33","900179","1453531","2870703990","01","","Centura Physicians Group","","207RC0000X","952810249","1452217999","W","089 Moran Drive","","Ramosfurt","GU","41046","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","10-SEP-25 10.41.49.370837000 PM","SYSTEM","27-AUG-25 01.12.07.370837000 AM"
"34","900163","1453466","2079339554","01","Trinity Medical Center","Mercy Dialysis Center","","207RC0000X","274878128","7695545518","W","63246 Pruitt Ridges","","Lake Tricialand","FM","84317","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","30-SEP-25 10.01.46.373122000 AM","SYSTEM","31-AUG-25 08.35.41.373122000 AM"
"35","900161","1454170","2910474271","05","","Centura Specialty Clinic","Mayo Clinic Health System","261QR1300X","072026271","0019485855","W","5942 Alvarez Rue","","Susanmouth","ME","76035","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","09-SEP-25 03.44.30.374176000 AM","SYSTEM","16-AUG-25 09.08.47.374176000 PM"
"36","900177","1454035","1214062857","01","Methodist Hospital","Mayo Clinic Medical Center","","207RC0000X","388721270","1858251311","W","30590 Norman Square Suite 207","","Lake Mandyberg","WV","81551","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","15-FEB-26 08.46.20.376160000 AM","SYSTEM","16-JAN-26 01.07.03.376160000 AM"
"37","900157","1453481","1212798064","05","","","","282N00000X","192840208","1479241636","W","0988 Garrett Rue Apt. 442","","Michaelfort","DC","90332","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","30-DEC-25 04.49.53.377161000 AM","SYSTEM","12-DEC-25 09.43.06.377161000 PM"
"38","900189","1453756","2969225764","01","Midwest Specialty Clinic","","","207RC0000X","447681511","7786198903","W","39097 Douglas Cliff","","Lake Connieport","GU","20294","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","30-SEP-25 02.23.45.379125000 AM","SYSTEM","30-AUG-25 05.27.23.379125000 AM"
