"p_sys_id","p_lic_cert_sk","p_lic_cert_num","p_lic_cert_cd","p_lic_cert_ind_cd","p_lic_cert_beg_dt","p_lic_cert_end_dt","p_lic_rstrct_cd","p_lic_vrfy_ind","p_lic_cert_agcy_cd","p_lic_prmt_id","p_lic_cert_state_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900195","552185","QQ-VN-37061","L","L","04-JUL-65","09-SEP-66","N","Y","006","1000001","PA","34","SYSTEM","23-AUG-25 10.21.48.478476000 PM","SYSTEM","11-AUG-25 05.22.32.478476000 PM"
"900153","552186","MR-YM-55131","L","L","02-APR-25","16-DEC-29","N","Y","098","1000002","NC","37","SYSTEM","22-APR-26 10.55.27.478476000 AM","SYSTEM","06-APR-26 12.01.04.478476000 AM"
"900188","552187","PI-AE-01403","L","L","20-FEB-19","12-SEP-19","N","Y","006","1000003","CA","44","SYSTEM","15-FEB-26 11.18.46.479984000 PM","SYSTEM","26-JAN-26 01.32.19.479984000 PM"
"900173","552188","EC-YW-24545","L","L","05-MAR-83","06-JUN-86","N","Y","098","1000004","WA","45","SYSTEM","14-JAN-26 03.58.23.480989000 AM","SYSTEM","26-DEC-25 09.22.59.480989000 PM"
"900155","552189","FZ-HJ-77547","L","L","08-JAN-78","21-APR-78","N","Y","006","1000005","AZ","52","SYSTEM","04-OCT-25 05.04.15.481873000 AM","SYSTEM","07-SEP-25 09.18.18.481873000 AM"
"900189","552190","MI-AG-79535","L","L","20-SEP-85","12-FEB-90","N","Y","006","1000006","CO","47","SYSTEM","31-JUL-25 02.06.15.482910000 AM","SYSTEM","22-JUL-25 09.50.09.482910000 AM"
"900156","552191","PF-DA-84121","L","L","04-JAN-33","23-DEC-36","N","Y","006","1000007","MT","50","SYSTEM","11-NOV-25 03.57.00.483924000 PM","SYSTEM","29-OCT-25 09.46.48.483924000 PM"
"900190","552192","PK-TD-15132","L","L","19-APR-74","14-SEP-78","N","Y","098","1000008","IA","48","SYSTEM","15-APR-26 06.00.37.484922000 AM","SYSTEM","07-APR-26 10.26.13.484922000 AM"
"900169","552193","SC-HK-22653","L","L","10-FEB-89","19-MAR-93","N","Y","006","1000009","GA","52","SYSTEM","26-JUL-25 02.19.54.484922000 AM","SYSTEM","23-JUL-25 07.39.43.484922000 AM"
"900197","552194","FH-FE-65837","L","L","05-APR-84","09-DEC-87","N","Y","098","1000010","WA","53","SYSTEM","31-JUL-26 10.27.55.485919000 AM","SYSTEM","13-JUL-26 09.20.54.485919000 PM"
"900170","552195","WS-MO-67560","L","L","01-OCT-32","19-MAR-34","N","Y","006","1000011","OH","38","SYSTEM","18-MAY-26 10.45.41.486927000 AM","SYSTEM","09-MAY-26 07.52.52.486927000 AM"
"900192","552196","QX-GK-72556","L","L","03-AUG-66","23-JAN-71","N","Y","098","1000012","GA","49","SYSTEM","28-OCT-25 07.47.35.487927000 PM","SYSTEM","12-OCT-25 07.46.53.487927000 PM"
"900183","552197","HE-TZ-32715","L","L","21-MAR-49","27-SEP-53","N","Y","098","1000013","NM","37","SYSTEM","25-APR-26 04.35.30.488924000 AM","SYSTEM","03-APR-26 06.16.32.488924000 PM"
"900196","552198","TM-ST-40752","L","L","30-AUG-37","05-APR-42","N","Y","098","1000014","WY","50","SYSTEM","08-MAY-26 08.14.00.489911000 AM","SYSTEM","08-APR-26 11.01.39.489911000 AM"
"900200","552199","GV-CS-38463","L","L","17-FEB-88","01-AUG-91","N","Y","006","1000015","MI","39","SYSTEM","16-AUG-26 05.39.49.490912000 AM","SYSTEM","19-JUL-26 05.28.13.490912000 PM"
"900163","552200","AU-NR-75461","L","L","18-DEC-29","29-APR-31","N","Y","098","1000016","MP","52","SYSTEM","09-DEC-25 10.19.24.491920000 AM","SYSTEM","15-NOV-25 08.49.33.491920000 PM"
"900158","552201","NC-SP-00689","L","L","10-MAR-18","06-FEB-25","N","Y","098","1000017","FM","40","SYSTEM","27-MAY-26 04.41.11.491920000 PM","SYSTEM","03-MAY-26 11.22.08.491920000 PM"
"900198","552202","ZN-II-62945","L","L","02-APR-38","30-MAY-38","N","Y","006","1000018","UT","48","SYSTEM","22-AUG-25 07.25.32.493155000 AM","SYSTEM","19-AUG-25 11.27.58.493155000 AM"
"900199","552203","HV-VO-82996","L","L","05-JUL-17","24-JUL-18","N","Y","006","1000019","IN","33","SYSTEM","28-SEP-25 07.32.48.494154000 AM","SYSTEM","20-SEP-25 11.05.25.494154000 AM"
"900174","552204","FU-GT-82193","L","L","15-JUN-23","12-NOV-23","N","Y","098","1000020","NJ","35","SYSTEM","03-JAN-26 06.49.39.496115000 PM","SYSTEM","10-DEC-25 03.07.27.496115000 AM"
"900184","552205","UV-RD-71353","L","L","21-DEC-24","16-MAR-25","N","Y","098","1000021","VA","34","SYSTEM","30-AUG-25 06.46.42.497154000 PM","SYSTEM","07-AUG-25 10.56.33.497154000 AM"
"900165","552206","EC-OS-70260","L","L","04-OCT-66","05-FEB-67","N","Y","006","1000022","NC","44","SYSTEM","31-MAR-26 09.33.13.498177000 PM","SYSTEM","17-MAR-26 02.09.19.498177000 PM"
"900181","552207","ZF-NP-41525","L","L","02-OCT-57","10-AUG-59","N","Y","098","1000023","MH","52","SYSTEM","20-AUG-25 04.13.44.499177000 AM","SYSTEM","26-JUL-25 07.45.22.499177000 AM"
"900171","552208","XB-FB-72168","L","L","12-DEC-34","23-JUN-37","N","Y","098","1000024","NE","51","SYSTEM","23-MAR-26 10.50.59.500203000 AM","SYSTEM","23-FEB-26 07.27.53.500203000 PM"
"900168","552209","YK-NT-86853","L","L","22-APR-63","14-OCT-64","N","Y","006","1000025","FM","47","SYSTEM","13-FEB-26 12.13.16.501197000 AM","SYSTEM","30-JAN-26 11.01.17.501197000 AM"
"900166","552210","NO-ST-98009","L","L","01-DEC-39","27-MAY-42","N","Y","098","1000026","DE","44","SYSTEM","05-AUG-25 08.11.37.502178000 PM","SYSTEM","20-JUL-25 07.03.49.502178000 AM"
"900151","552211","PQ-BL-61983","L","L","06-OCT-79","16-SEP-80","N","Y","098","1000027","NH","43","SYSTEM","14-NOV-25 06.01.41.503426000 AM","SYSTEM","21-OCT-25 10.26.19.503426000 PM"
"900194","552212","OX-EN-55888","L","L","23-FEB-28","22-JAN-30","N","Y","006","1000028","NE","53","SYSTEM","14-DEC-25 11.00.11.503426000 AM","SYSTEM","17-NOV-25 01.57.26.503426000 AM"
"900193","552213","EU-XQ-16016","L","L","22-MAY-73","25-AUG-73","N","Y","006","1000029","LA","34","SYSTEM","10-MAY-26 08.46.26.504430000 PM","SYSTEM","11-APR-26 10.09.42.504430000 AM"
"900177","552214","FS-IC-81421","L","L","17-DEC-24","31-DEC-27","N","Y","006","1000030","KY","51","SYSTEM","01-MAY-26 12.24.04.505430000 AM","SYSTEM","16-APR-26 12.35.36.505430000 PM"
"900159","552215","EO-PS-20576","L","L","24-MAR-79","21-MAR-84","N","Y","098","1000031","OH","37","SYSTEM","21-FEB-26 08.02.11.506428000 AM","SYSTEM","02-FEB-26 12.32.06.506428000 AM"
"900167","552216","VC-KM-78251","L","L","09-FEB-84","13-AUG-87","N","Y","098","1000032","PA","44","SYSTEM","31-MAY-26 09.42.43.507420000 PM","SYSTEM","05-MAY-26 01.16.41.507420000 PM"
"900161","552217","EW-JX-28337","L","L","12-MAY-34","27-FEB-35","N","Y","098","1000033","AR","47","SYSTEM","21-JAN-26 01.40.36.508421000 PM","SYSTEM","29-DEC-25 10.58.00.508421000 PM"
"900182","552218","LR-ZR-04580","L","L","23-MAR-61","22-JUL-62","N","Y","098","1000034","MO","40","SYSTEM","25-MAY-26 10.28.19.509429000 PM","SYSTEM","20-MAY-26 01.55.07.509429000 PM"
