"p_npi_num","p_nppes_npi_src_txnmy_seq_num","p_txnmy_cd","p_lic_num","p_lic_num_state_cd","p_txnmy_switch_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"1706399668","4","207RC0000X","","NY","Y","0","SYSTEM","02-AUG-25 01.36.56.990500000 AM","SYSTEM","24-JUL-25 07.40.04.990500000 AM"
"1126056880","5","207Q00000X","IL-MD-70809","","N","0","SYSTEM","27-MAY-26 02.20.14.991500000 PM","SYSTEM","23-MAY-26 07.57.45.991500000 AM"
"1444264976","6","207R00000X","","","N","0","SYSTEM","03-NOV-25 10.17.59.991500000 AM","SYSTEM","21-OCT-25 09.23.54.991500000 PM"
"2966882047","7","207RC0000X","","OR","N","0","SYSTEM","11-JUL-26 02.19.13.991500000 PM","SYSTEM","05-JUL-26 01.52.49.991500000 AM"
"2499903377","8","2084N0400X","","WA","Y","0","SYSTEM","16-NOV-25 02.03.07.992710000 PM","SYSTEM","19-OCT-25 06.27.59.992710000 PM"
"2852044637","9","208D00000X","","MO","N","0","SYSTEM","01-JUN-26 02.13.36.992710000 AM","SYSTEM","01-MAY-26 12.46.56.992710000 PM"
"2949713970","10","208D00000X","GA-MD-48047","","Y","0","SYSTEM","30-MAY-26 08.33.10.992710000 PM","SYSTEM","05-MAY-26 07.57.03.992710000 AM"
"1750091294","11","282N00000X","","ME","N","0","SYSTEM","19-DEC-25 11.23.44.993718000 PM","SYSTEM","24-NOV-25 12.03.43.993718000 PM"
"2339441968","12","207Q00000X","PA-MD-20768","","Y","0","SYSTEM","29-JAN-26 04.40.39.993718000 AM","SYSTEM","20-JAN-26 04.47.11.993718000 AM"
"2299043754","13","207R00000X","OH-MD-66495","AS","Y","0","SYSTEM","07-SEP-25 10.39.32.994718000 PM","SYSTEM","11-AUG-25 10.41.05.994718000 AM"
"2613400128","14","207RC0000X","","","N","0","SYSTEM","23-JAN-26 09.37.18.994718000 AM","SYSTEM","08-JAN-26 05.50.40.994718000 AM"
"2505484867","15","208D00000X","","GU","Y","0","SYSTEM","20-JUN-26 05.09.58.994718000 AM","SYSTEM","24-MAY-26 05.49.29.994718000 AM"
"1492007194","16","282N00000X","NY-MD-64758","MS","Y","0","SYSTEM","05-OCT-25 06.36.52.995718000 PM","SYSTEM","16-SEP-25 07.24.07.995718000 PM"
"2302387529","17","207Q00000X","","","Y","0","SYSTEM","14-JUL-26 09.41.00.995718000 AM","SYSTEM","18-JUN-26 02.07.00.995718000 PM"
"1530318058","18","207Q00000X","NC-MD-12878","TN","Y","0","SYSTEM","30-OCT-25 10.08.37.996723000 AM","SYSTEM","02-OCT-25 08.43.28.996723000 AM"
"2676724166","19","282N00000X","","CT","Y","0","SYSTEM","10-DEC-25 01.04.57.996723000 PM","SYSTEM","09-NOV-25 06.57.29.996723000 PM"
"2623360452","20","261QR1300X","","","N","0","SYSTEM","05-DEC-25 05.35.45.997710000 AM","SYSTEM","27-NOV-25 07.31.32.997710000 AM"
"1784433256","21","207Q00000X","CA-MD-20329","","Y","0","SYSTEM","21-MAY-26 12.50.06.997710000 PM","SYSTEM","17-MAY-26 05.24.53.997710000 PM"
"1433786435","22","208D00000X","ND-MD-28933","UT","N","0","SYSTEM","19-JUL-26 07.05.06.997710000 PM","SYSTEM","12-JUL-26 10.23.02.997710000 PM"
"1011679648","23","261QP2300X","","","N","0","SYSTEM","15-AUG-25 09.29.38.998716000 AM","SYSTEM","29-JUL-25 07.44.53.998716000 AM"
"2548959743","24","2084N0400X","","","Y","0","SYSTEM","19-APR-26 12.55.15.998716000 AM","SYSTEM","15-APR-26 11.40.01.998716000 AM"
"1602469524","25","261QP2300X","","PR","N","0","SYSTEM","03-SEP-25 01.46.28.999726000 AM","SYSTEM","01-SEP-25 04.58.07.999726000 AM"
"2608446813","26","208D00000X","","","N","0","SYSTEM","21-JUL-26 06.29.57.999726000 PM","SYSTEM","17-JUL-26 09.51.36.999726000 AM"
"2895019208","27","208D00000X","","","N","0","SYSTEM","08-MAY-26 07.13.18.999726000 PM","SYSTEM","21-APR-26 02.18.56.999726000 AM"
"2567184801","28","207R00000X","NY-MD-71503","","N","0","SYSTEM","26-AUG-25 01.34.47.000726000 AM","SYSTEM","14-AUG-25 10.24.22.000726000 AM"
"1291611188","29","208D00000X","","PA","Y","0","SYSTEM","17-DEC-25 12.15.15.000726000 PM","SYSTEM","30-NOV-25 09.54.21.000726000 PM"
"1698342932","30","282N00000X","PA-MD-63774","","N","0","SYSTEM","25-FEB-26 08.05.35.000726000 PM","SYSTEM","03-FEB-26 06.15.49.000726000 AM"
