"p_owner_tax_id","p_owner_busn_attn_nam","p_owner_dba_nam","p_owner_dob_dt","p_owner_first_nam","p_owner_last_nam","p_owner_mcare_id","p_owner_mid_nam","p_owner_sfx_nam","p_owner_ssn_num","p_owner_busn_nam","p_owner_title_nam","p_owner_ty_cd","p_owner_mcaid_id","p_state_or_cntry_of_birth_text","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts","p_owner_dtl_seq_num"
"471128468","","Centura Medical Center","12-SEP-63","Jennifer","Arroyo","","Christopher","","127108885","","","I","","Trinity Special","35","SYSTEM","01-JUN-26 08.00.52.018433000 PM","SYSTEM","04-MAY-26 09.55.57.018433000 AM","104"
"252303853","","Trinity Health System","31-MAR-57","Jamie","Allen","","","","990911447","","","I","","Centura Dialysi","44","SYSTEM","21-OCT-25 05.45.41.018433000 AM","SYSTEM","07-OCT-25 10.21.29.018433000 PM","105"
"196396346","","","07-MAR-55","Jonathan","Wong","","Robert","","922375263","","Dr. Megan Dominguez,","I","","Centura Special","30","SYSTEM","19-NOV-25 01.42.19.019993000 PM","SYSTEM","28-OCT-25 11.42.01.019993000 AM","106"
"592255218","","Mayo Clinic Lab Services","02-MAY-71","Rebecca","Valencia","","Anthony","","482269058","","Dr. Matthew Cummings","I","","Sanford Lab Ser","25","SYSTEM","04-MAY-26 02.15.01.021038000 PM","SYSTEM","09-APR-26 07.11.09.021038000 PM","107"
"777567123","","","24-MAY-55","Tyler","Yoder","","Jacob","","897473993","","","I","","Mayo Clinic Hos","31","SYSTEM","26-NOV-25 01.42.21.022049000 AM","SYSTEM","02-NOV-25 12.13.50.022049000 AM","108"
"277247921","","Mercy Health System","23-JUL-66","Brad","Coleman","","","","393796544","","Dr. Andrew Long, DO","I","","Sanford Medical","38","SYSTEM","12-JUL-26 08.18.31.023236000 PM","SYSTEM","09-JUL-26 02.55.37.023236000 PM","109"
"567852678","","Trinity Specialty Clinic","25-OCT-67","Cynthia","Newman","","Melissa","","978214668","","Dr. Donald Berger, D","I","","Mercy Hospital","24","SYSTEM","30-JUN-26 10.24.55.024238000 PM","SYSTEM","21-JUN-26 05.42.33.024238000 PM","110"
"932982653","","","04-AUG-75","Brian","Larson","","Derrick","","284213293","","Dr. Audrey Huff, NP","I","","Methodist Speci","28","SYSTEM","03-FEB-26 03.56.25.025234000 AM","SYSTEM","25-JAN-26 09.56.22.025234000 AM","111"
"552131086","","","20-JUL-73","Kelly","Velazquez","","","","513910626","","","I","","Methodist Healt","15","SYSTEM","16-JAN-26 10.25.50.026235000 AM","SYSTEM","20-DEC-25 07.50.49.026235000 AM","112"
"314519466","","","02-SEP-55","Crystal","Carrillo","","James","","237092044","","","I","","Midwest Physici","21","SYSTEM","09-APR-26 02.00.22.027238000 AM","SYSTEM","11-MAR-26 09.46.00.027238000 AM","113"
"195489347","","","27-OCT-63","Emily","Douglas","","","","456173561","","Dr. Justin Herrera, ","I","","Sanford Dialysi","43","SYSTEM","31-OCT-25 02.44.10.028241000 PM","SYSTEM","01-OCT-25 12.09.12.028241000 AM","114"
"308488663","","","14-OCT-63","Meagan","Bolton","","","","441185373","","","I","","Centura Health ","27","SYSTEM","05-OCT-25 10.31.59.028241000 PM","SYSTEM","15-SEP-25 05.31.27.028241000 AM","115"
"234214998","","","14-APR-65","Lori","Jimenez","","","","509818851","","","I","","Mayo Clinic Spe","34","SYSTEM","06-JUL-26 11.58.27.028241000 PM","SYSTEM","28-JUN-26 04.05.00.028241000 AM","116"
"306510774","","","05-MAY-71","Craig","Chen","","","","852227917","","Dr. Cindy Taylor, RN","I","","Mayo Clinic Med","29","SYSTEM","22-JUN-26 03.40.03.030951000 AM","SYSTEM","11-JUN-26 10.58.53.030951000 PM","117"
"670746223","","","30-AUG-65","James","Davis","","William","","727334301","","","I","","St. Jude Physic","47","SYSTEM","30-JAN-26 08.19.37.032023000 PM","SYSTEM","19-JAN-26 11.01.53.032023000 AM","118"
"434474888","","Sanford Physicians Group","17-AUG-62","Nina","Vance","","Monica","","480504010","","","I","","Trinity Physici","39","SYSTEM","24-SEP-25 07.41.23.033017000 PM","SYSTEM","12-SEP-25 02.37.38.033017000 AM","119"
"607125410","","","26-SEP-58","Amanda","West","","Elizabeth","","469109337","","","I","","Centura Lab Ser","18","SYSTEM","21-MAR-26 11.05.30.034034000 AM","SYSTEM","06-MAR-26 01.16.12.034034000 AM","120"
"161790618","","St. Jude Health System","25-AUG-58","Richard","Elliott","","Bryan","","925023129","","","I","","Methodist Hospi","12","SYSTEM","28-OCT-25 11.44.39.034034000 PM","SYSTEM","28-OCT-25 04.56.13.034034000 PM","121"
"388572093","","","13-AUG-77","Andrea","Castro","","","","418449203","","","I","","Kaiser Specialt","23","SYSTEM","13-MAY-26 12.08.32.035025000 PM","SYSTEM","09-MAY-26 12.26.46.035025000 PM","122"
"613208203","","Mayo Clinic Medical Center","14-MAR-75","Jay","White","","Samuel","","775117223","","","I","","St. Jude Medica","45","SYSTEM","18-JAN-26 12.28.19.036035000 PM","SYSTEM","13-JAN-26 01.46.16.036035000 AM","123"
"613626067","","","26-SEP-63","Rachel","Kaiser","","","","299570898","","Dr. Erin Murphy, DO","I","","Trinity Health ","14","SYSTEM","08-JAN-26 06.22.56.037048000 PM","SYSTEM","01-JAN-26 01.37.06.037048000 PM","124"
