"p_sys_id","p_ownrshp_chg_eff_dt","p_busn_nam","p_ownrshp_ty_cd","p_fed_tax_id","b_busn_contct_text","p_first_nam","p_last_nam","p_mi_nam","p_ssn_num","p_birth_dt","p_enrolling_prov_rel_text","p_mcare_id","p_npi_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id","l_hibernate_ver_num"
"900177","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900196","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900165","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900159","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900181","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900173","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900163","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900160","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900162","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900199","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900168","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900155","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900178","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900180","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900186","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900187","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900170","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900185","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900179","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900198","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900161","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900197","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900189","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900175","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900190","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900169","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900194","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900182","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900166","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900192","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900151","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900174","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900172","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900188","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900157","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900154","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900167","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900183","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900195","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900158","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900164","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900184","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900156","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900152","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900191","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900171","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900193","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900176","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900200","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
"900153","","","","","","","","","","","","","","","SYSTEM","","SYSTEM",""
