"p_sys_id","p_prev_nam_seq_num","p_prev_last_nam","p_prev_first_nam","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id"
"900194","2","Valley Care Lab Services","Midwest Physicians Group","6","27-FEB-26 08.50.14.777882000 AM","SYSTEM","23-MAR-26 03.47.54.777882000 AM","SYSTEM"
"900174","3","Kaiser Health System","Mercy Medical Center","7","08-FEB-26 09.31.49.777882000 AM","SYSTEM","07-MAR-26 09.51.06.777882000 AM","SYSTEM"
"900153","4","Sanford Specialty Clinic","Mayo Clinic Dialysis Cent","4","30-DEC-25 07.16.45.778886000 PM","SYSTEM","08-JAN-26 08.37.56.778886000 AM","SYSTEM"
"900169","5","Mayo Clinic Specialty Clinic","Kaiser Dialysis Center","6","06-JAN-26 08.46.30.778886000 PM","SYSTEM","17-JAN-26 01.52.55.778886000 PM","SYSTEM"
"900191","6","St. Jude Health System","St. Jude Specialty Clinic","7","30-OCT-25 10.23.11.778886000 AM","SYSTEM","21-NOV-25 03.54.16.778886000 AM","SYSTEM"
"900156","7","Kaiser Lab Services","Valley Care Physicians Gr","2","16-AUG-25 03.33.04.779879000 PM","SYSTEM","25-AUG-25 06.59.23.779879000 PM","SYSTEM"
"900160","8","Trinity Dialysis Center","Sanford Hospital","9","14-FEB-26 05.26.19.779879000 PM","SYSTEM","08-MAR-26 10.59.28.779879000 AM","SYSTEM"
"900152","9","Mayo Clinic Lab Services","Midwest Specialty Clinic","4","21-APR-26 10.56.15.779879000 AM","SYSTEM","29-APR-26 01.14.36.779879000 PM","SYSTEM"
"900183","10","Valley Care Dialysis Center","Centura Physicians Group","8","10-MAR-26 11.53.14.779879000 PM","SYSTEM","15-MAR-26 03.47.01.779879000 AM","SYSTEM"
"900178","11","Valley Care Hospital","Methodist Physicians Grou","3","22-AUG-25 05.54.08.780877000 AM","SYSTEM","12-SEP-25 05.08.26.780877000 PM","SYSTEM"
"900196","12","St. Jude Lab Services","Methodist Health System","2","17-DEC-25 09.52.19.780877000 PM","SYSTEM","23-DEC-25 01.51.12.780877000 AM","SYSTEM"
"900157","13","Trinity Lab Services","Kaiser Medical Center","2","25-JUL-25 05.53.54.780877000 PM","SYSTEM","06-AUG-25 06.18.37.780877000 AM","SYSTEM"
"900176","14","Mercy Medical Center","Mayo Clinic Specialty Cli","9","06-JAN-26 10.00.00.780877000 AM","SYSTEM","23-JAN-26 02.07.36.780877000 PM","SYSTEM"
"900159","15","Kaiser Medical Center","Kaiser Hospital","2","25-JUN-26 09.07.31.781877000 AM","SYSTEM","04-JUL-26 01.45.47.781877000 PM","SYSTEM"
"900198","16","Centura Lab Services","Kaiser Lab Services","10","16-DEC-25 01.31.53.781877000 AM","SYSTEM","12-JAN-26 03.38.52.781877000 AM","SYSTEM"
"900179","17","Kaiser Dialysis Center","Mayo Clinic Hospital","10","30-JAN-26 03.01.55.781877000 AM","SYSTEM","20-FEB-26 05.05.34.781877000 PM","SYSTEM"
"900158","18","St. Jude Physicians Group","Sanford Lab Services","9","25-FEB-26 06.25.49.781877000 PM","SYSTEM","06-MAR-26 03.54.52.781877000 AM","SYSTEM"
"900192","19","Mercy Specialty Clinic","Centura Health System","4","12-APR-26 12.56.32.783080000 AM","SYSTEM","29-APR-26 08.31.03.783080000 PM","SYSTEM"
"900180","20","Trinity Physicians Group","Mercy Physicians Group","3","16-AUG-25 06.50.39.783080000 PM","SYSTEM","11-SEP-25 04.36.52.783080000 AM","SYSTEM"
