"p_qsp_prov_recip_seq_num","p_recip_first_nam","p_recip_last_nam","p_recip_rel_cd","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id","p_sys_id"
"2","Valley Care Physicians Gr","Kaiser Health System","2","3","22-FEB-26 10.15.38.834151000 AM","SYSTEM","16-MAR-26 09.25.36.834151000 PM","SYSTEM","900160"
"3","Valley Care Health System","St. Jude Hospital","1","2","24-JUL-25 07.42.07.834151000 PM","SYSTEM","29-JUL-25 09.26.16.834151000 AM","SYSTEM","900198"
"4","Kaiser Dialysis Center","Valley Care Physicians Group","1","3","08-JUN-26 12.37.57.835150000 AM","SYSTEM","08-JUL-26 10.30.34.835150000 PM","SYSTEM","900194"
"5","Sanford Lab Services","Valley Care Specialty Clinic","2","3","01-JAN-26 05.21.33.835150000 AM","SYSTEM","31-JAN-26 09.15.31.835150000 PM","SYSTEM","900156"
"6","Mayo Clinic Dialysis Cent","Midwest Lab Services","2","2","14-NOV-25 04.00.03.836149000 AM","SYSTEM","06-DEC-25 09.54.45.836149000 PM","SYSTEM","900189"
"7","Centura Physicians Group","Centura Medical Center","1","2","22-SEP-25 07.37.39.837148000 PM","SYSTEM","22-OCT-25 09.30.11.837148000 PM","SYSTEM","900188"
"8","Midwest Health System","Centura Dialysis Center","2","3","26-APR-26 10.48.55.837148000 PM","SYSTEM","21-MAY-26 08.03.12.837148000 AM","SYSTEM","900169"
"9","St. Jude Specialty Clinic","Trinity Specialty Clinic","1","3","02-AUG-25 07.59.00.838148000 AM","SYSTEM","20-AUG-25 08.55.25.838148000 AM","SYSTEM","900164"
"10","Trinity Hospital","Mercy Physicians Group","1","2","12-JUN-26 01.41.12.838148000 PM","SYSTEM","08-JUL-26 02.00.53.838148000 PM","SYSTEM","900154"
"11","Mercy Dialysis Center","Valley Care Lab Services","2","2","20-JUL-25 10.02.17.839149000 PM","SYSTEM","28-JUL-25 05.22.05.839149000 PM","SYSTEM","900167"
"12","Kaiser Medical Center","Kaiser Lab Services","2","3","03-NOV-25 05.53.55.839149000 PM","SYSTEM","18-NOV-25 11.14.24.839149000 AM","SYSTEM","900171"
"13","Mayo Clinic Physicians Gr","Mercy Hospital","1","3","13-APR-26 04.29.12.840149000 AM","SYSTEM","12-MAY-26 04.01.08.840149000 PM","SYSTEM","900168"
"14","St. Jude Medical Center","Kaiser Dialysis Center","1","2","04-MAR-26 06.11.10.840736000 AM","SYSTEM","11-MAR-26 09.36.28.840736000 PM","SYSTEM","900157"
