"p_sys_id","p_qstnr_seq_num","p_qstnr_last_nam","p_qstnr_first_nam","p_qstnr_mi_nam","p_qstnr_sfx_nam","p_qstnr_rel_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900181","2","Mayo Clinic Health System","St. Jude Specialty Clinic","","Trinity Me","B","0","SYSTEM","17-JUN-26 08.00.02.897036000 PM","SYSTEM","31-MAY-26 01.23.43.897036000 AM"
"900165","3","Sanford Hospital","Midwest Lab Services","K","","B","0","SYSTEM","24-AUG-25 01.24.53.897036000 AM","SYSTEM","05-AUG-25 03.00.22.897036000 PM"
"900182","4","Trinity Specialty Clinic","Sanford Lab Services","","","B","0","SYSTEM","26-OCT-25 09.19.43.897036000 PM","SYSTEM","07-OCT-25 12.13.40.897036000 PM"
"900180","5","Centura Hospital","Trinity Health System","T","","B","0","SYSTEM","15-JUN-26 10.25.54.897036000 PM","SYSTEM","10-JUN-26 12.32.53.897036000 PM"
"900153","6","Sanford Medical Center","Mayo Clinic Dialysis Cent","","","B","0","SYSTEM","26-OCT-25 06.53.36.898054000 PM","SYSTEM","12-OCT-25 11.11.06.898054000 PM"
"900185","7","Centura Medical Center","Kaiser Medical Center","S","","B","0","SYSTEM","30-MAR-26 10.18.16.898054000 AM","SYSTEM","27-MAR-26 09.46.15.898054000 AM"
"900156","8","St. Jude Specialty Clinic","Valley Care Dialysis Cent","C","","B","0","SYSTEM","12-JUN-26 11.29.19.898054000 PM","SYSTEM","14-MAY-26 05.47.19.898054000 AM"
"900187","9","Kaiser Lab Services","Methodist Medical Center","","","B","0","SYSTEM","09-MAR-26 10.14.39.898054000 PM","SYSTEM","24-FEB-26 06.44.58.898054000 AM"
"900189","110","Centura Dialysis Center","Mayo Clinic Lab Services","V","Methodist ","B","0","SYSTEM","12-NOV-25 04.21.11.898054000 PM","SYSTEM","02-NOV-25 05.47.16.898054000 PM"
"900196","111","Mayo Clinic Physicians Group","Valley Care Medical Cente","","Valley Car","B","0","SYSTEM","27-OCT-25 09.10.39.898054000 AM","SYSTEM","27-SEP-25 07.30.04.898054000 PM"
"900162","112","Methodist Dialysis Center","Trinity Hospital","","St. Jude S","B","0","SYSTEM","20-APR-26 08.05.39.898054000 PM","SYSTEM","07-APR-26 07.44.35.898054000 PM"
"900151","113","Trinity Medical Center","Mercy Lab Services","","Mercy Hosp","B","0","SYSTEM","08-NOV-25 09.54.10.898054000 PM","SYSTEM","22-OCT-25 05.42.16.898054000 AM"
"900163","114","Valley Care Hospital","Mayo Clinic Medical Cente","M","Mayo Clini","B","0","SYSTEM","24-AUG-25 12.48.15.899046000 PM","SYSTEM","04-AUG-25 08.07.30.899046000 PM"
"900190","115","Mercy Lab Services","Midwest Dialysis Center","","","B","0","SYSTEM","05-JUL-26 05.38.08.899046000 AM","SYSTEM","27-JUN-26 04.34.24.899046000 AM"
"900183","116","St. Jude Medical Center","Centura Lab Services","","Centura Ph","B","0","SYSTEM","26-DEC-25 01.15.45.899046000 PM","SYSTEM","24-DEC-25 01.00.46.899046000 AM"
"900172","117","Sanford Dialysis Center","St. Jude Lab Services","","Centura La","B","0","SYSTEM","18-MAY-26 03.06.47.899046000 AM","SYSTEM","01-MAY-26 10.22.24.899046000 PM"
"900198","118","Valley Care Physicians Group","St. Jude Dialysis Center","","Kaiser Phy","B","0","SYSTEM","20-JUL-26 02.00.05.899046000 AM","SYSTEM","19-JUL-26 12.18.51.899046000 PM"
"900155","119","Sanford Lab Services","Mercy Specialty Clinic","","Centura Sp","B","0","SYSTEM","08-DEC-25 11.22.43.899046000 AM","SYSTEM","11-NOV-25 02.58.03.899046000 AM"
"900192","120","Kaiser Dialysis Center","Mayo Clinic Physicians Gr","","Sanford Di","B","0","SYSTEM","14-OCT-25 02.14.39.899046000 AM","SYSTEM","13-SEP-25 10.29.06.899046000 AM"
"900174","121","Midwest Lab Services","St. Jude Physicians Group","","","B","0","SYSTEM","10-OCT-25 04.33.39.899046000 PM","SYSTEM","08-OCT-25 01.08.46.899046000 PM"
"900173","122","Mercy Hospital","Midwest Physicians Group","","Sanford Ph","B","0","SYSTEM","17-JUN-26 04.35.11.899046000 AM","SYSTEM","18-MAY-26 04.19.27.899046000 AM"
"900199","123","Centura Lab Services","Kaiser Hospital","","","B","0","SYSTEM","01-JUN-26 11.14.38.899046000 PM","SYSTEM","02-MAY-26 08.58.34.899046000 AM"
"900171","124","Mayo Clinic Lab Services","Methodist Health System","","","B","0","SYSTEM","28-SEP-25 08.30.16.899046000 PM","SYSTEM","24-SEP-25 08.24.04.899046000 AM"
"900188","125","Mercy Health System","Methodist Lab Services","","","B","0","SYSTEM","04-JUN-26 11.22.51.900101000 PM","SYSTEM","30-MAY-26 09.06.51.900101000 AM"
"900178","126","St. Jude Lab Services","Valley Care Hospital","","Trinity Di","B","0","SYSTEM","27-SEP-25 04.27.01.900101000 AM","SYSTEM","26-SEP-25 05.15.40.900101000 AM"
"900179","127","Centura Health System","Centura Specialty Clinic","","Centura Me","B","0","SYSTEM","21-JUN-26 02.52.18.900101000 AM","SYSTEM","19-JUN-26 08.39.25.900101000 AM"
"900160","128","St. Jude Hospital","Valley Care Physicians Gr","","Midwest Di","B","0","SYSTEM","07-NOV-25 10.55.40.900101000 AM","SYSTEM","08-OCT-25 05.25.29.900101000 PM"
"900194","129","Mercy Dialysis Center","Centura Health System","","Midwest Ho","B","0","SYSTEM","17-AUG-25 06.30.17.900101000 AM","SYSTEM","09-AUG-25 08.06.11.900101000 PM"
"900158","130","Sanford Health System","Trinity Physicians Group","","","B","0","SYSTEM","15-MAR-26 11.11.47.900101000 AM","SYSTEM","17-FEB-26 03.26.02.900101000 AM"
"900164","131","Kaiser Hospital","Mayo Clinic Health System","","Midwest He","B","0","SYSTEM","08-DEC-25 11.21.39.900101000 PM","SYSTEM","12-NOV-25 08.24.44.900101000 AM"
"900161","132","Midwest Hospital","Kaiser Lab Services","","","B","0","SYSTEM","05-FEB-26 11.14.28.900101000 AM","SYSTEM","30-JAN-26 09.20.17.900101000 AM"
"900175","133","Mayo Clinic Hospital","Centura Dialysis Center","","Mercy Heal","B","0","SYSTEM","24-JUL-26 04.47.52.900101000 PM","SYSTEM","17-JUL-26 02.36.24.900101000 AM"
"900197","134","Mercy Medical Center","Kaiser Dialysis Center","","","B","0","SYSTEM","08-JUL-26 11.24.57.900101000 AM","SYSTEM","09-JUN-26 08.53.38.900101000 AM"
"900152","135","Methodist Medical Center","Midwest Medical Center","","","B","0","SYSTEM","19-OCT-25 01.14.35.901087000 PM","SYSTEM","15-OCT-25 05.45.53.901087000 AM"
"900176","136","Centura Physicians Group","Methodist Dialysis Center","","","B","0","SYSTEM","23-OCT-25 07.53.59.901087000 AM","SYSTEM","06-OCT-25 10.38.33.901087000 PM"
"900200","137","St. Jude Dialysis Center","St. Jude Health System","","","B","0","SYSTEM","20-OCT-25 03.29.43.901087000 AM","SYSTEM","01-OCT-25 01.30.11.901087000 AM"
"900167","138","Kaiser Medical Center","St. Jude Medical Center","","","B","0","SYSTEM","26-OCT-25 04.25.53.901087000 AM","SYSTEM","28-SEP-25 07.22.03.901087000 AM"
"900157","139","Mayo Clinic Medical Center","Valley Care Specialty Cli","","St. Jude M","B","0","SYSTEM","23-DEC-25 03.41.37.901087000 PM","SYSTEM","26-NOV-25 02.18.09.901087000 AM"
"900191","140","Mercy Physicians Group","St. Jude Hospital","","","B","0","SYSTEM","07-APR-26 03.28.33.901087000 PM","SYSTEM","19-MAR-26 09.21.29.901087000 PM"
"900168","141","Valley Care Medical Center","Trinity Lab Services","","Sanford He","B","0","SYSTEM","28-DEC-25 12.44.12.901087000 PM","SYSTEM","02-DEC-25 05.43.07.901087000 AM"
"900159","142","Midwest Health System","Mercy Health System","","","B","0","SYSTEM","27-JAN-26 09.14.17.901087000 PM","SYSTEM","06-JAN-26 02.47.29.901087000 AM"
"900186","143","Kaiser Health System","Midwest Health System","","","B","0","SYSTEM","27-AUG-25 05.21.58.901087000 PM","SYSTEM","20-AUG-25 03.04.52.901087000 AM"
"900177","144","Midwest Dialysis Center","Valley Care Lab Services","","","B","0","SYSTEM","15-SEP-25 10.46.51.901087000 PM","SYSTEM","17-AUG-25 02.21.10.901087000 AM"
"900195","145","Trinity Lab Services","Kaiser Health System","","Kaiser Spe","B","0","SYSTEM","11-JUN-26 05.56.52.902093000 AM","SYSTEM","30-MAY-26 01.08.32.902093000 PM"
"900166","146","Valley Care Specialty Clinic","Sanford Health System","","","B","0","SYSTEM","20-JUN-26 09.40.42.902093000 AM","SYSTEM","28-MAY-26 03.17.40.902093000 AM"
"900169","147","Methodist Health System","Methodist Physicians Grou","","","B","0","SYSTEM","21-JAN-26 06.15.02.902093000 PM","SYSTEM","05-JAN-26 11.29.38.902093000 PM"
"900154","148","Trinity Hospital","Trinity Dialysis Center","","","B","0","SYSTEM","12-MAR-26 10.23.19.902093000 PM","SYSTEM","05-MAR-26 11.21.44.902093000 AM"
"900170","149","St. Jude Physicians Group","Mercy Physicians Group","","St. Jude L","B","0","SYSTEM","12-NOV-25 12.13.22.902093000 AM","SYSTEM","09-NOV-25 12.32.32.902093000 PM"
"900184","150","Methodist Specialty Clinic","Kaiser Specialty Clinic","","Kaiser Med","B","0","SYSTEM","23-SEP-25 09.44.31.902093000 PM","SYSTEM","03-SEP-25 08.10.30.902093000 PM"
"900193","151","Midwest Medical Center","Trinity Medical Center","","","B","0","SYSTEM","06-JUL-26 03.08.13.902093000 AM","SYSTEM","12-JUN-26 06.40.05.902093000 PM"
