"p_sys_id","p_qstnr_seq_num","p_qstnr_fed_prog_nam","p_qstnr_first_nam","p_qstnr_last_nam","p_qstnr_mi_nam","p_qstnr_sfx_nam","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900161","150","Kaiser Dialysis Center","Mercy Dialysis Center","Sanford Physicians Group","","","23","SYSTEM","31-DEC-25 09.26.12.910360000 AM","SYSTEM","03-DEC-25 03.24.23.910360000 PM"
"900182","200","Midwest Specialty Clinic","Methodist Hospital","Valley Care Health System","","","28","SYSTEM","17-SEP-25 01.11.39.910360000 AM","SYSTEM","23-AUG-25 01.45.47.910360000 AM"
"900195","201","Valley Care Physicians Group","Mayo Clinic Specialty Cli","Sanford Specialty Clinic","","","22","SYSTEM","06-OCT-25 02.17.27.911362000 PM","SYSTEM","25-SEP-25 06.09.08.911362000 PM"
"900160","202","Midwest Health System","Mercy Medical Center","Methodist Hospital","","","22","SYSTEM","25-MAR-26 07.19.49.911362000 PM","SYSTEM","02-MAR-26 06.36.21.911362000 PM"
"900177","203","Midwest Dialysis Center","Midwest Specialty Clinic","Mayo Clinic Specialty Clinic","","","32","SYSTEM","16-OCT-25 12.32.17.911362000 PM","SYSTEM","05-OCT-25 01.34.33.911362000 PM"
"900175","204","Valley Care Lab Services","Sanford Dialysis Center","Kaiser Physicians Group","","","21","SYSTEM","03-DEC-25 11.55.27.912564000 PM","SYSTEM","07-NOV-25 12.34.10.912564000 AM"
"900171","205","Sanford Health System","Midwest Hospital","Trinity Dialysis Center","","","26","SYSTEM","15-AUG-25 04.27.58.912564000 AM","SYSTEM","27-JUL-25 04.21.42.912564000 PM"
"900179","206","Trinity Health System","Mercy Hospital","St. Jude Health System","","","27","SYSTEM","24-APR-26 10.16.25.912564000 AM","SYSTEM","29-MAR-26 05.17.38.912564000 PM"
"900172","207","St. Jude Physicians Group","Methodist Specialty Clini","Mayo Clinic Dialysis Center","","","25","SYSTEM","17-AUG-25 08.19.10.913606000 AM","SYSTEM","15-AUG-25 01.19.53.913606000 AM"
"900198","208","Kaiser Lab Services","Sanford Physicians Group","Valley Care Dialysis Center","","","21","SYSTEM","16-DEC-25 06.34.59.913606000 PM","SYSTEM","28-NOV-25 04.52.23.913606000 PM"
"900173","209","Midwest Medical Center","Centura Physicians Group","Mercy Specialty Clinic","","","26","SYSTEM","17-NOV-25 03.10.49.913606000 AM","SYSTEM","18-OCT-25 09.02.53.913606000 AM"
"900200","210","Sanford Specialty Clinic","Sanford Specialty Clinic","Trinity Physicians Group","","","29","SYSTEM","28-NOV-25 09.17.41.913606000 PM","SYSTEM","26-NOV-25 06.32.53.913606000 AM"
"900168","211","Mayo Clinic Medical Center","Centura Medical Center","Midwest Physicians Group","","","29","SYSTEM","06-JUL-26 04.45.29.914613000 PM","SYSTEM","30-JUN-26 05.06.33.914613000 PM"
"900174","212","Methodist Health System","Sanford Medical Center","Kaiser Specialty Clinic","","","30","SYSTEM","22-MAY-26 08.49.24.914613000 PM","SYSTEM","19-MAY-26 04.17.28.914613000 PM"
"900178","213","Kaiser Health System","Mayo Clinic Hospital","Valley Care Lab Services","","","32","SYSTEM","10-DEC-25 06.43.10.914613000 PM","SYSTEM","03-DEC-25 11.56.51.914613000 PM"
"900188","214","Mercy Physicians Group","Valley Care Health System","Centura Specialty Clinic","","","30","SYSTEM","03-OCT-25 03.14.44.915609000 PM","SYSTEM","21-SEP-25 08.46.03.915609000 PM"
"900189","215","Midwest Hospital","Kaiser Physicians Group","Methodist Physicians Group","","","26","SYSTEM","21-NOV-25 08.19.20.915609000 PM","SYSTEM","10-NOV-25 07.17.26.915609000 PM"
"900162","216","Centura Physicians Group","Centura Hospital","Midwest Specialty Clinic","","","25","SYSTEM","09-MAR-26 10.23.32.915609000 PM","SYSTEM","22-FEB-26 04.43.33.915609000 AM"
