"p_sys_id","p_ra_medm_sk","p_era_acct_num_lnkg_desc","p_era_mthd_rtrvl_text","p_era_subm_dt","p_era_reqd_eff_dt","p_clrg_house_nam","p_clrg_house_contct_nam","g_clrg_house_phone_sk","g_clrg_house_email_sk","p_era_asgn_authrty_text","p_era_subm_rsn_desc","p_era_auth_sign_desc","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900175","1873170","Mayo Clinic Medical Center","Mercy Lab Services","","","","Dr. Gary Burke, RN","100397947","49841","","","","0","SYSTEM","24-JUL-26 09.11.26.985903000 PM","SYSTEM","26-JUN-26 03.05.20.985903000 AM"
"900171","1873171","Valley Care Physicians Group","Mayo Clinic Lab Services","17-JUL-17","","","Dr. Lisa Harrison, DO","100397948","49842","","Methodist Lab Serv","Valley Care Dialysis Center","0","SYSTEM","01-AUG-25 02.37.28.986883000 PM","SYSTEM","28-JUL-25 03.06.14.986883000 AM"
"900157","1873172","Kaiser Medical Center","","","","","","100397949","49843","","","","0","SYSTEM","20-DEC-25 05.39.06.986883000 AM","SYSTEM","19-DEC-25 04.26.18.986883000 AM"
"900200","1873173","Mercy Hospital","","","","Midwest Lab Services","","100397950","49844","","St. Jude Health Sy","Methodist Medical Center","0","SYSTEM","08-MAR-26 01.36.55.987886000 PM","SYSTEM","11-FEB-26 01.00.23.987886000 AM"
"900180","1873174","Methodist Health System","","","","","","100397951","49845","","Kaiser Specialty C","","0","SYSTEM","18-DEC-25 10.16.34.987886000 PM","SYSTEM","10-DEC-25 12.39.49.987886000 PM"
"900194","1873175","Trinity Health System","Trinity Dialysis Center","","","St. Jude Medical Center","","100397952","49846","","","Sanford Dialysis Center","0","SYSTEM","17-AUG-25 03.18.28.988886000 AM","SYSTEM","23-JUL-25 10.26.20.988886000 AM"
"900160","1873176","Centura Physicians Group","","","","Mayo Clinic Lab Services","Dr. Mr. Terry Mendez, NP","100397953","49847","","","","0","SYSTEM","11-JAN-26 06.37.48.989887000 AM","SYSTEM","17-DEC-25 12.39.58.989887000 AM"
"900169","1873177","Methodist Hospital","","","","","Dr. Stephanie Faulkner, DPM","100397954","49848","","Sanford Hospital","St. Jude Lab Services","0","SYSTEM","03-JAN-26 08.37.34.989887000 PM","SYSTEM","21-DEC-25 09.10.10.989887000 PM"
"900168","1873178","St. Jude Health System","","","","","Dr. Dr. Desiree Sanders MD, DO","100397955","49849","","Sanford Dialysis C","Midwest Health System","0","SYSTEM","07-DEC-25 04.48.56.990889000 PM","SYSTEM","23-NOV-25 03.17.47.990889000 AM"
"900162","1873179","Centura Lab Services","Methodist Specialty Clinic","","","Sanford Hospital","","100397956","49850","","","Mayo Clinic Lab Services","0","SYSTEM","12-SEP-25 05.11.35.990889000 AM","SYSTEM","11-SEP-25 05.13.05.990889000 AM"
"900192","1873180","Midwest Specialty Clinic","Methodist Medical Center","","","","Dr. Elizabeth Smith, RN","100397957","49851","","","","0","SYSTEM","10-AUG-25 10.34.42.991890000 AM","SYSTEM","31-JUL-25 08.47.58.991890000 PM"
