"p_rpt_dot_extrt_sk","p_lic_cert_num","p_alt_id","p_alt_id_ty_cd","p_sort_nam","p_dob_dt","p_rpt_prcs_dt","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"24505","DG-QW-68148","1696280050","DEA","Vargas","12-JUL-83","05-APR-26","0","SYSTEM","28-AUG-25 02.16.00.102973000 PM"
"24506","AG-GH-95059","1184706954","MCR","Adams","12-JUL-83","05-APR-26","0","SYSTEM","25-JAN-26 01.29.47.106980000 AM"
"24507","AX-IR-56740","2796048330","DEA","Rasmussen","12-JUL-83","05-APR-26","0","SYSTEM","07-JUN-26 08.53.00.111075000 AM"
"24508","DI-ER-93715","1173988332","DEA","Brown","12-JUL-83","05-APR-26","0","SYSTEM","17-MAR-26 03.35.37.116463000 PM"
"24509","II-SN-00984","2506731621","MCR","Wilkerson","12-JUL-83","05-APR-26","0","SYSTEM","30-DEC-25 09.36.05.120460000 PM"
"24510","BA-VQ-44230","2801649445","ND","Moon","12-JUL-83","05-APR-26","0","SYSTEM","02-JUN-26 12.22.46.124879000 PM"
"24511","SR-DQ-62342","2147371969","DEA","Dyer","12-JUL-83","05-APR-26","0","SYSTEM","30-SEP-25 12.40.33.126888000 AM"
"24512","EX-FK-88530","1070962703","ND","Wagner","12-JUL-83","05-APR-26","0","SYSTEM","05-SEP-25 01.46.43.128887000 AM"
"24513","CY-UK-05395","1667488138","ND","Yoder","12-JUL-83","05-APR-26","0","SYSTEM","09-APR-26 07.42.30.131887000 PM"
"24514","HH-BT-27098","1678982731","DEA","Mcdonald","12-JUL-83","05-APR-26","0","SYSTEM","26-AUG-25 11.20.25.134028000 AM"
"24515","ZK-YS-73038","1792666830","MCR","Krause","12-JUL-83","05-APR-26","0","SYSTEM","19-APR-26 02.05.02.136028000 AM"
"24516","GB-SL-98447","1171595865","NPI","Stewart","12-JUL-83","05-APR-26","0","SYSTEM","08-OCT-25 10.48.23.138027000 PM"
"24517","RF-FT-34267","2562640971","DEA","Lee","12-JUL-83","05-APR-26","0","SYSTEM","04-NOV-25 11.13.08.141026000 AM"
"24518","JU-YF-61254","1057078614","MCR","Chen","12-JUL-83","05-APR-26","0","SYSTEM","27-OCT-25 08.18.04.143252000 PM"
"24519","MJ-FG-00770","1342889387","MCR","Cantrell","12-JUL-83","05-APR-26","0","SYSTEM","28-APR-26 07.58.24.145325000 PM"
"24520","SR-OB-58363","2629785967","MCR","Scott","12-JUL-83","05-APR-26","0","SYSTEM","24-MAY-26 04.12.09.147258000 AM"
"24521","IZ-FB-33359","2447168354","MCR","Parks","12-JUL-83","05-APR-26","0","SYSTEM","17-JUL-26 04.39.33.150256000 AM"
"24522","KU-MI-67561","1774889889","MCR","Baker","12-JUL-83","05-APR-26","0","SYSTEM","21-DEC-25 10.40.07.152256000 AM"
"24523","HR-WD-55452","2342800408","DEA","Watson","12-JUL-83","05-APR-26","0","SYSTEM","06-FEB-26 03.23.29.154480000 PM"
"24524","DT-KD-09605","1131660858","DEA","Mendez","12-JUL-83","05-APR-26","0","SYSTEM","29-JUL-25 05.44.47.156472000 PM"
"24525","FA-NM-35731","1048895514","DEA","Carrillo","12-JUL-83","05-APR-26","0","SYSTEM","01-FEB-26 05.11.31.159039000 PM"
"24526","PS-VA-90643","1858169414","ND","Simpson","12-JUL-83","05-APR-26","0","SYSTEM","10-SEP-25 10.10.18.161113000 PM"
"24527","YK-TP-63542","2529022727","NPI","Arias","12-JUL-83","05-APR-26","0","SYSTEM","10-JUL-26 11.07.30.163563000 PM"
"24528","LR-GK-03612","1521991954","ND","Pena","12-JUL-83","05-APR-26","0","SYSTEM","06-OCT-25 06.29.02.165684000 PM"
"24529","VY-QS-59133","1198404422","MCR","Johnson","12-JUL-83","05-APR-26","0","SYSTEM","19-AUG-25 05.11.47.168725000 PM"
"24530","VU-EM-64531","2322131246","DEA","Allen","12-JUL-83","05-APR-26","0","SYSTEM","03-JUL-26 11.03.20.170687000 PM"
"24531","AA-KE-50972","1849907484","ND","Nichols","12-JUL-83","05-APR-26","0","SYSTEM","06-APR-26 02.31.46.172397000 PM"
"24532","PV-SO-58169","2375684885","NPI","Ortiz","12-JUL-83","05-APR-26","0","SYSTEM","30-OCT-25 08.29.48.175619000 PM"
"24533","KY-PL-81134","2194898674","DEA","Russell","12-JUL-83","05-APR-26","0","SYSTEM","09-JAN-26 09.09.26.177620000 AM"
"24534","JZ-SO-98959","2357577859","ND","Pacheco","12-JUL-83","05-APR-26","0","SYSTEM","14-FEB-26 10.13.45.180127000 PM"
"24535","NH-HS-23066","1505056931","MCR","Tran","12-JUL-83","05-APR-26","0","SYSTEM","15-SEP-25 12.35.27.182132000 AM"
"24536","DM-YP-87686","1775651395","NPI","Watkins","12-JUL-83","05-APR-26","0","SYSTEM","22-JUN-26 08.08.50.184357000 AM"
