"p_rpt_ln_de_err_sk","p_de_prov_id","p_de_nam","p_de_num","p_de_exp_dt","p_de_error_msg","p_de_prcs_dt","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"1857608","1476544","Mayo Clinic Dialysis Center","FT0038693","09-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","15-MAR-26 06.54.44.268580000 PM"
"1857609","1476545","Mayo Clinic Lab Services","MB3480213","17-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","22-SEP-25 03.14.48.268580000 PM"
"1857610","1476546","Kaiser Hospital","MB3480213","13-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","31-MAY-26 02.44.12.269591000 AM"
"1857611","1476547","Kaiser Dialysis Center","FT0038693","27-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","27-AUG-25 07.35.30.269591000 PM"
"1857612","1476548","Valley Care Specialty Clinic","MB3480213","01-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","28-SEP-25 02.53.26.270591000 AM"
"1857613","1476549","St. Jude Dialysis Center","FT0038693","16-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","09-JUL-26 09.02.20.271589000 AM"
"1857614","1476550","Sanford Medical Center","MB3480213","29-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","28-APR-26 03.30.26.271589000 PM"
"1857615","1476551","Mayo Clinic Physicians Group","FT0038693","06-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","19-JUN-26 04.06.07.272842000 AM"
"1857616","1476552","Methodist Hospital","FT0038693","22-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","05-NOV-25 02.39.43.273850000 AM"
"1857617","1476553","Centura Hospital","MB3480213","14-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","06-DEC-25 12.06.39.273850000 PM"
"1857618","1476554","Midwest Physicians Group","MB3480213","08-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","02-JUN-26 01.29.23.274853000 PM"
"1857619","1476555","Midwest Health System","MB3480213","15-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","14-SEP-25 06.04.28.275851000 AM"
"1857620","1476556","Sanford Hospital","MB3480213","04-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","10-SEP-25 02.15.32.275851000 AM"
"1857621","1476557","Kaiser Medical Center","MB3480213","30-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","23-JUN-26 10.31.37.277405000 PM"
"1857622","1476558","St. Jude Medical Center","FT0038693","07-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","16-NOV-25 05.23.18.277405000 PM"
"1857623","1476559","Sanford Specialty Clinic","FT0038693","12-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","03-DEC-25 03.48.50.277405000 PM"
"1857624","1476560","Kaiser Lab Services","FT0038693","02-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","28-APR-26 11.47.58.278490000 PM"
