"p_rpt_ln_sn_err_sk","p_sn_prov_id","p_sn_nam","p_sn_sanc_dt","p_sn_sanc_state","p_sn_sanc_lic_num","p_sn_sanc_rsn","p_sn_sanc_terms","p_sn_sanc_fraud_ind","p_sn_sanc_lic_loss_ind","p_sn_error_msg","p_sn_prcs_dt","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"32303","164496","Methodist Dialysis Center","03-APR-11","FL","IL-MD-42625","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","13-JAN-26 09.51.02.329317000 PM"
"32304","164497","Mercy Health System","21-AUG-12","FL","MI-MD-75648","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","27-MAR-26 03.32.09.329845000 PM"
"32305","164498","Methodist Specialty Clinic","09-JAN-11","FL","OH-MD-94483","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","14-NOV-25 01.01.39.329845000 AM"
"32306","164499","St. Jude Specialty Clinic","22-DEC-09","FL","FL-MD-85444","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","19-JUL-26 02.47.44.329845000 PM"
"32307","164500","Methodist Hospital","09-NOV-09","FL","CA-MD-30138","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","25-MAY-26 12.38.15.329845000 AM"
"32308","164501","Centura Hospital","27-JUN-12","FL","PA-MD-49932","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","13-FEB-26 05.09.21.330858000 AM"
"32309","164502","Methodist Physicians Group","24-MAY-12","FL","NY-MD-14260","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","28-JUL-25 05.45.40.330858000 PM"
"32310","164503","Kaiser Lab Services","11-MAR-12","FL","MI-MD-76290","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","01-FEB-26 10.00.12.330858000 PM"
"32311","164504","Trinity Lab Services","14-JUL-10","FL","PA-MD-37410","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","07-MAR-26 09.29.20.330858000 PM"
"32312","164505","Valley Care Physicians Group","19-AUG-12","FL","PA-MD-97002","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","30-JAN-26 08.04.48.330858000 AM"
"32313","164506","Centura Dialysis Center","09-SEP-09","FL","IL-MD-29357","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","10-DEC-25 05.10.50.330858000 PM"
"32314","164507","Kaiser Physicians Group","01-JUN-12","FL","TX-MD-19532","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","28-NOV-25 06.19.59.330858000 AM"
"32315","164508","Kaiser Specialty Clinic","03-DEC-09","FL","GA-MD-32214","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","16-JUN-26 08.07.07.330858000 PM"
"32316","164509","Midwest Lab Services","16-NOV-11","FL","NC-MD-36967","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","16-MAY-26 07.08.14.330858000 PM"
