"p_rpt_ln_upd_sk","p_rec_type","p_iface_prcs_dt","p_success_ind","p_mmis_id","p_prov_nam","p_update_field_text","p_prev_dt","p_new_dt","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"567693","ML","09-JUL-26","Y","1494330","Dr. Kristie King, RN","Sanford Hospital","31-DEC-26","10-DEC-87","0","SYSTEM","21-SEP-25 10.45.54.336126000 AM"
"567694","ML","09-JUL-26","Y","1494331","Dr. Jennifer Anderson PhD, PA","Midwest Physicians G","31-DEC-26","04-OCT-69","0","SYSTEM","06-MAY-26 12.57.00.336126000 PM"
"567695","ML","09-JUL-26","Y","1494332","","Trinity Hospital","31-DEC-26","30-SEP-81","0","SYSTEM","24-DEC-25 01.08.11.336126000 AM"
"567696","ML","09-JUL-26","Y","1494333","","Kaiser Dialysis Cent","31-DEC-26","08-MAR-18","0","SYSTEM","26-APR-26 07.36.56.336126000 AM"
"567697","ML","09-JUL-26","Y","1494334","Dr. Julie Obrien, DPM","Mayo Clinic Medical ","31-DEC-26","08-JUN-75","0","SYSTEM","27-APR-26 11.51.42.337160000 AM"
"567698","ML","09-JUL-26","Y","1494335","Dr. Jeffrey Williams, MD","St. Jude Physicians ","31-DEC-26","27-JUN-21","0","SYSTEM","28-AUG-25 02.46.19.337160000 AM"
"567699","ML","09-JUL-26","Y","1494336","Dr. Krista Reeves, RN","St. Jude Specialty C","31-DEC-26","05-NOV-86","0","SYSTEM","25-APR-26 02.46.22.337160000 PM"
"567700","ML","09-JUL-26","Y","1494337","Dr. John Peterson, PA","St. Jude Health Syst","31-DEC-26","06-OCT-17","0","SYSTEM","23-FEB-26 03.14.07.337160000 AM"
"567701","ML","09-JUL-26","Y","1494338","","Centura Health Syste","31-DEC-26","19-SEP-05","0","SYSTEM","08-FEB-26 02.06.50.337160000 AM"
"567702","ML","09-JUL-26","Y","1494339","Dr. Melissa Scott, PA","Trinity Dialysis Cen","31-DEC-26","20-NOV-01","0","SYSTEM","24-MAY-26 02.09.00.338164000 AM"
"567703","ML","09-JUL-26","Y","1494340","Dr. Melissa Jones, PA","Sanford Lab Services","31-DEC-26","22-AUG-96","0","SYSTEM","15-SEP-25 08.03.02.338164000 PM"
"567704","ML","09-JUL-26","Y","1494341","Dr. Lori Adams, DPM","St. Jude Lab Service","31-DEC-26","09-SEP-30","0","SYSTEM","11-AUG-25 06.36.50.338164000 PM"
"567705","ML","09-JUL-26","Y","1494342","","Trinity Health Syste","31-DEC-26","19-MAR-17","0","SYSTEM","10-MAY-26 02.27.11.338164000 PM"
"567706","ML","09-JUL-26","Y","1494343","Dr. Amanda Andrews, PA","Methodist Specialty ","31-DEC-26","04-FEB-55","0","SYSTEM","11-SEP-25 07.36.53.338164000 PM"
"567707","ML","09-JUL-26","Y","1494344","Dr. Misty Gentry, DPM","Sanford Physicians G","31-DEC-26","26-JUL-86","0","SYSTEM","12-JUL-26 12.11.07.339164000 AM"
"567708","ML","09-JUL-26","Y","1494345","","Kaiser Medical Cente","31-DEC-26","05-JUL-87","0","SYSTEM","12-DEC-25 09.07.14.339164000 AM"
"567709","ML","09-JUL-26","Y","1494346","","Centura Dialysis Cen","31-DEC-26","30-AUG-97","0","SYSTEM","22-SEP-25 11.04.52.339164000 PM"
"567710","ML","09-JUL-26","Y","1494347","Dr. Dr. Angel Petersen, MD","Sanford Medical Cent","31-DEC-26","01-APR-04","0","SYSTEM","18-NOV-25 08.32.37.339164000 AM"
"567711","ML","09-JUL-26","Y","1494348","Dr. Matthew Frey, RN","Sanford Health Syste","31-DEC-26","19-SEP-62","0","SYSTEM","03-FEB-26 12.03.56.339164000 PM"
"567712","ML","09-JUL-26","Y","1494349","","Methodist Lab Servic","31-DEC-26","29-AUG-01","0","SYSTEM","30-MAR-26 04.22.11.339164000 AM"
"567713","ML","09-JUL-26","Y","1494350","","Kaiser Physicians Gr","31-DEC-26","12-APR-80","0","SYSTEM","01-SEP-25 07.03.21.339164000 AM"
"567714","ML","09-JUL-26","Y","1494351","Dr. Dr. Michael Bruce Jr., RN","Mercy Hospital","31-DEC-26","23-MAY-45","0","SYSTEM","28-DEC-25 11.21.07.340164000 AM"
"567715","ML","09-JUL-26","Y","1494352","","Centura Physicians G","31-DEC-26","12-JUN-96","0","SYSTEM","29-APR-26 11.11.30.340164000 AM"
"567716","ML","09-JUL-26","Y","1494353","","Mercy Physicians Gro","31-DEC-26","20-JUN-16","0","SYSTEM","19-JAN-26 05.56.44.340164000 PM"
"567717","ML","09-JUL-26","Y","1494354","Dr. Mr. Nicholas Mcmillan, NP","Valley Care Medical ","31-DEC-26","07-FEB-47","0","SYSTEM","18-FEB-26 04.10.05.340164000 AM"
"567718","ML","09-JUL-26","Y","1494355","","Mayo Clinic Physicia","31-DEC-26","08-MAR-23","0","SYSTEM","24-MAY-26 08.54.41.340164000 AM"
"567719","ML","09-JUL-26","Y","1494356","Dr. Joseph Howell, NP","Valley Care Dialysis","31-DEC-26","27-FEB-32","0","SYSTEM","21-SEP-25 07.54.16.340164000 AM"
"567720","ML","09-JUL-26","Y","1494357","","Methodist Medical Ce","31-DEC-26","01-MAY-79","0","SYSTEM","22-MAY-26 01.21.03.340164000 AM"
"567721","ML","09-JUL-26","Y","1494358","","Kaiser Hospital","31-DEC-26","07-MAR-57","0","SYSTEM","17-JUN-26 06.46.27.341172000 AM"
"567722","ML","09-JUL-26","Y","1494359","Dr. Thomas Gordon, MD","Midwest Medical Cent","31-DEC-26","04-FEB-30","0","SYSTEM","14-SEP-25 06.00.36.341172000 PM"
"567723","ML","09-JUL-26","Y","1494360","","Kaiser Health System","31-DEC-26","19-OCT-25","0","SYSTEM","04-MAR-26 11.06.56.341172000 PM"
"567724","ML","09-JUL-26","Y","1494361","","Valley Care Health S","31-DEC-26","28-AUG-59","0","SYSTEM","13-AUG-25 07.21.56.341172000 AM"
"567725","ML","09-JUL-26","Y","1494362","Dr. Martin Mcgee, MD","Valley Care Physicia","31-DEC-26","12-JAN-40","0","SYSTEM","03-APR-26 12.11.11.341172000 PM"
"567726","ML","09-JUL-26","Y","1494363","","Mayo Clinic Specialt","31-DEC-26","03-FEB-29","0","SYSTEM","09-MAY-26 03.54.12.341172000 PM"
"567727","ML","09-JUL-26","Y","1494364","Dr. Katherine Mcdonald, DPM","Mercy Health System","31-DEC-26","23-APR-18","0","SYSTEM","17-APR-26 10.36.13.341172000 AM"
"567728","ML","09-JUL-26","Y","1494365","","St. Jude Medical Cen","31-DEC-26","11-DEC-19","0","SYSTEM","24-MAR-26 12.49.40.342164000 PM"
"567729","ML","09-JUL-26","Y","1494366","Dr. Michaela Bush, MD","Mercy Dialysis Cente","31-DEC-26","24-OCT-05","0","SYSTEM","20-DEC-25 12.12.13.342164000 PM"
"567730","ML","09-JUL-26","Y","1494367","Dr. Ashley Graves, RN","Centura Medical Cent","31-DEC-26","02-DEC-80","0","SYSTEM","03-JUL-26 02.17.15.342563000 PM"
"567731","ML","09-JUL-26","Y","1494368","","Mercy Medical Center","31-DEC-26","08-JUN-57","0","SYSTEM","05-JAN-26 09.39.48.342563000 PM"
