"p_sys_id","p_specl_need_sk","p_specl_need_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900200","569561","SA","0","SYSTEM","15-JUN-26 09.51.44.047768000 AM","SYSTEM","20-MAY-26 09.17.12.047768000 AM"
"900158","569562","VI","0","SYSTEM","01-APR-26 04.52.37.048769000 PM","SYSTEM","02-MAR-26 10.30.00.048769000 PM"
"900161","569563","VI","0","SYSTEM","29-DEC-25 03.19.38.048769000 AM","SYSTEM","15-DEC-25 03.02.34.048769000 AM"
"900155","569564","VI","0","SYSTEM","17-NOV-25 11.13.27.049768000 AM","SYSTEM","20-OCT-25 09.28.20.049768000 PM"
"900156","569565","VI","0","SYSTEM","15-JUL-26 12.25.41.050768000 PM","SYSTEM","05-JUL-26 01.42.46.050768000 PM"
"900199","569566","SA","0","SYSTEM","27-JUL-26 05.52.15.050768000 AM","SYSTEM","17-JUL-26 02.15.42.050768000 PM"
"900195","569567","VI","0","SYSTEM","11-NOV-25 09.43.51.051767000 PM","SYSTEM","16-OCT-25 02.39.19.051767000 PM"
"900192","569568","SA","0","SYSTEM","15-MAR-26 08.02.03.053007000 PM","SYSTEM","08-MAR-26 06.33.33.053007000 PM"
"900181","569569","VI","0","SYSTEM","27-DEC-25 07.10.12.053007000 AM","SYSTEM","15-DEC-25 03.18.32.053007000 AM"
"900182","569570","SA","0","SYSTEM","14-AUG-25 09.29.54.054006000 AM","SYSTEM","21-JUL-25 10.14.35.054006000 AM"
"900154","569571","SA","0","SYSTEM","16-DEC-25 06.55.08.055006000 AM","SYSTEM","22-NOV-25 04.15.31.055006000 AM"
"900175","569572","VI","0","SYSTEM","29-OCT-25 02.05.24.055959000 AM","SYSTEM","07-OCT-25 02.16.44.055959000 PM"
"900176","569573","SA","0","SYSTEM","10-SEP-25 01.58.43.055959000 AM","SYSTEM","10-AUG-25 09.12.34.055959000 PM"
"900165","569574","VI","0","SYSTEM","23-JUL-25 03.05.18.057000000 PM","SYSTEM","21-JUL-25 06.37.49.057000000 PM"
"900159","569575","VI","0","SYSTEM","07-OCT-25 04.57.07.057999000 PM","SYSTEM","23-SEP-25 06.58.08.057999000 PM"
"900178","569576","VI","0","SYSTEM","28-MAY-26 05.29.27.058999000 PM","SYSTEM","11-MAY-26 01.32.13.058999000 AM"
"900177","569577","VI","0","SYSTEM","18-OCT-25 01.54.59.058999000 AM","SYSTEM","02-OCT-25 06.23.51.058999000 PM"
"900174","569578","SA","0","SYSTEM","20-JAN-26 11.48.45.060007000 AM","SYSTEM","07-JAN-26 10.12.30.060007000 AM"
"900190","569579","VI","0","SYSTEM","28-OCT-25 04.12.00.060965000 AM","SYSTEM","05-OCT-25 02.35.41.060965000 AM"
"900196","569580","SA","0","SYSTEM","25-AUG-25 03.42.51.061969000 PM","SYSTEM","17-AUG-25 04.34.47.061969000 PM"
"900184","569581","VI","0","SYSTEM","13-JUN-26 09.49.21.062369000 PM","SYSTEM","12-JUN-26 11.57.40.062369000 AM"
"900153","569582","SA","0","SYSTEM","22-JUL-26 01.42.33.063410000 PM","SYSTEM","16-JUL-26 02.04.23.063410000 AM"
"900171","569583","VI","0","SYSTEM","21-MAR-26 04.12.49.064420000 AM","SYSTEM","01-MAR-26 02.56.09.064420000 PM"
"900183","569584","SA","0","SYSTEM","02-APR-26 08.51.59.064420000 AM","SYSTEM","21-MAR-26 02.28.17.064420000 AM"
"900188","569585","VI","0","SYSTEM","31-MAY-26 05.49.37.065420000 PM","SYSTEM","23-MAY-26 09.12.48.065420000 AM"
"900160","569586","SA","0","SYSTEM","17-FEB-26 10.48.29.066474000 AM","SYSTEM","02-FEB-26 12.10.53.066474000 PM"
"900157","569587","SA","0","SYSTEM","05-FEB-26 06.51.42.067476000 PM","SYSTEM","30-JAN-26 10.23.26.067476000 AM"
"900167","569588","SA","0","SYSTEM","14-SEP-25 10.31.51.067476000 PM","SYSTEM","16-AUG-25 06.45.02.067476000 AM"
"900189","569589","SA","0","SYSTEM","10-JUN-26 09.56.25.068475000 AM","SYSTEM","03-JUN-26 01.28.51.068475000 AM"
"900185","569590","SA","0","SYSTEM","19-SEP-25 07.04.41.069498000 PM","SYSTEM","24-AUG-25 03.19.03.069498000 AM"
"900180","569591","VI","0","SYSTEM","20-MAR-26 08.12.13.070498000 AM","SYSTEM","26-FEB-26 06.33.46.070498000 PM"
"900194","569592","VI","0","SYSTEM","29-JUN-26 02.38.38.070498000 PM","SYSTEM","28-JUN-26 09.16.29.070498000 AM"
"900173","569593","SA","0","SYSTEM","20-MAY-26 01.16.07.071484000 AM","SYSTEM","19-MAY-26 06.29.33.071484000 AM"
"900164","569594","VI","0","SYSTEM","13-FEB-26 01.03.20.072656000 AM","SYSTEM","09-FEB-26 05.37.59.072656000 AM"
"900186","569595","SA","0","SYSTEM","31-MAY-26 03.14.01.073650000 AM","SYSTEM","03-MAY-26 02.22.42.073650000 AM"
"900197","569596","VI","0","SYSTEM","14-SEP-25 02.56.27.074616000 PM","SYSTEM","08-SEP-25 09.42.40.074616000 AM"
"900198","569597","SA","0","SYSTEM","29-SEP-25 06.34.57.075650000 PM","SYSTEM","18-SEP-25 09.08.55.075650000 AM"
"900193","569598","VI","0","SYSTEM","23-AUG-25 05.38.55.075650000 PM","SYSTEM","27-JUL-25 01.48.46.075650000 AM"
"900169","569599","VI","0","SYSTEM","16-OCT-25 04.26.45.076650000 AM","SYSTEM","03-OCT-25 08.15.10.076650000 AM"
"900151","569600","SA","0","SYSTEM","22-JUL-26 05.16.31.077610000 AM","SYSTEM","06-JUL-26 02.46.48.077610000 PM"
"900166","569601","SA","0","SYSTEM","13-SEP-25 04.52.25.078613000 PM","SYSTEM","26-AUG-25 10.48.07.078613000 AM"
"900152","569602","SA","0","SYSTEM","02-APR-26 01.09.45.079608000 PM","SYSTEM","10-MAR-26 10.55.00.079608000 AM"
"900170","569603","VI","0","SYSTEM","06-APR-26 10.08.40.079608000 AM","SYSTEM","15-MAR-26 04.20.59.079608000 PM"
"900162","569604","SA","0","SYSTEM","29-NOV-25 02.14.33.081111000 PM","SYSTEM","25-NOV-25 05.05.52.081111000 AM"
"900191","569605","SA","0","SYSTEM","22-OCT-25 08.26.18.082115000 AM","SYSTEM","23-SEP-25 03.34.43.082115000 AM"
"900179","569606","SA","0","SYSTEM","09-APR-26 02.37.43.082115000 PM","SYSTEM","28-MAR-26 08.46.52.082115000 AM"
"900187","569607","VI","0","SYSTEM","23-FEB-26 01.42.24.083398000 PM","SYSTEM","27-JAN-26 11.41.26.083398000 AM"
"900163","569608","VI","0","SYSTEM","29-APR-26 01.31.49.084394000 PM","SYSTEM","10-APR-26 07.24.55.084394000 AM"
"900172","569609","SA","0","SYSTEM","23-FEB-26 12.45.02.085402000 PM","SYSTEM","11-FEB-26 06.23.20.085402000 PM"
"900168","569610","VI","0","SYSTEM","01-FEB-26 04.45.23.085402000 AM","SYSTEM","31-JAN-26 11.09.09.085402000 AM"
