p_sys_id,p_faci_sk,p_faci_ty_cd,p_faci_beg_dt,p_faci_end_dt,p_faci_admin_nam,p_faci_fy_mo_num,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1276768,17322,PSY,2008-09-15,2013-12-31,PRAIRIE ST JOHN,1,38,PJHEID,2014-01-23 12:38:14.481000,guestUser,2013-04-09 12:28:00.790000
1276793,17323,NRS,1995-10-02,1999-12-31,Connie Hakanson,1,36,PJHEID,2013-10-23 13:11:40.599000,guestUser,2013-04-10 11:26:14.754000
1276810,17324,NRS,1962-10-17,1999-12-31, ,1,84,PJHEID,2014-02-04 16:21:53.946000,guestUser,2013-04-12 09:07:55.488000
1276845,17326,ICF,2013-01-01,1999-12-31,SANDI MARSHALL,1,128,JUDITHSZEGEDI,2014-05-20 13:54:13.616000,guestUser,2013-04-17 09:25:38.587000
1277387,17339,NRS,1997-07-01,2013-06-30, ,1,23,BRENDAPEREZESCOB,2014-06-19 17:05:45.492000,guestUser,2013-05-09 11:13:44.199000
1277400,17340,6,2013-01-01,2013-12-31,Northwood Deaco,1,23,CKRAFT,2014-01-24 07:33:02.799000,guestUser,2013-05-09 13:08:13.281000
1276874,17341,ACF,2013-01-01,2013-12-31, ,1,29,TBRABANDT,2013-12-13 07:33:06.189000,guestUser,2013-05-14 10:30:57.030000
1277519,17342,ICF,1981-07-01,1999-12-31,Group Home 1,1,27,guestUser,2013-06-17 13:35:58.829000,guestUser,2013-05-14 12:00:59.277000
1277532,17345,ICF,1985-07-01,1999-12-31,Group Home 5,1,2,guestUser,2013-05-14 15:09:17.280000,guestUser,2013-05-14 15:07:24.117000
1277559,17346,ACF,2013-01-01,2013-12-31,CMC Swing Bed,1,41,KWOODALL,2014-04-21 13:55:50.436000,guestUser,2013-05-15 11:45:10.158000
1277639,17348,ACF,2011-12-25,1999-12-31,Jason Breuer,1,12,PJHEID,2013-10-02 13:28:18.157000,guestUser,2013-05-17 12:17:23.394000
1277828,17363,ICF,2013-01-01,1999-12-31,SANDRA MARSHALL,1,32,DMOCK,2014-06-23 16:06:51.878000,guestUser,2013-05-28 14:19:24.011000
1277293,17364,ICF,2006-01-01,1999-12-31,NuVation Health,1,25,PJHEID,2014-04-07 08:00:41.346000,guestUser,2013-05-28 14:58:32.156000
1277842,17366,ACF,2012-10-01,1999-09-30,MARK KERR,1,14,KWOODALL,2014-06-20 09:29:54.678000,guestUser,2013-05-29 12:10:35.533000
1277838,17368,ACF,1968-01-18,1999-12-31,Lawrence Blue,1,38,ZOEASANDY,2014-04-07 12:17:37.506000,guestUser,2013-05-29 14:23:07.635000
1277908,17373,ACF,1959-12-01,1999-12-31,MARK BENEDUM,1,34,JMLAGRO,2013-12-06 08:38:10.910000,guestUser,2013-06-04 16:10:29.241000
1278015,17374,6,2013-06-13,2014-11-05, ,1,123,B-Term-Prov-Trigger_2957260.00,2020-01-24 18:02:24.117241,guestUser,2013-06-13 13:48:38.038000
